id,year,type,mineral,operator,area_ha,forest_loss_ha,inside_owr,source_dataset,source_provider,source_url,retrieval_date,processing_method,confidence_level,latitude,longitude,status,permit_id
SITE-167,2009,Artisanal,Gold,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,2.1738778228991587,28.297969099921715,Mapped,SITE-167
SITE-553,2011,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.4503792878650947,29.02787129789568,Mapped,SITE-553
SITE-149,2009,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,2.4370356491642142,28.705716076293506,Mapped,SITE-149
SITE-761,2007,Artisanal,Gold,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.952311416843897,27.928547880441414,Mapped,SITE-761
SITE-839,2015,Artisanal,Diamond,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.1336009450549933,29.030657245874984,Mapped,SITE-839
SITE-756,2019,Artisanal,Diamond,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,2.420158264733587,29.07957698649134,Mapped,SITE-756
SITE-614,2015,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.2518468092874488,29.587413306448024,Mapped,SITE-614
SITE-754,2006,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.8159350557132967,28.038306454404918,Mapped,SITE-754
SITE-229,2014,Artisanal,Diamond,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.7241264854478637,28.31609874232657,Mapped,SITE-229
SITE-213,2018,Artisanal,Diamond,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.3366437632042334,27.94383437237702,Mapped,SITE-213
SITE-437,2018,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.6783475492314366,29.739302927936418,Mapped,SITE-437
SITE-807,2001,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.8977936573605185,29.083202176071822,Mapped,SITE-807
SITE-938,2024,Artisanal,Diamond,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.1962472476259012,27.552394891737297,Mapped,SITE-938
SITE-742,2017,Artisanal,Gold,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,2.4881965553591643,28.827833986565754,Mapped,SITE-742
SITE-210,2003,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.6183481158579915,29.372834148190474,Mapped,SITE-210
SITE-605,2019,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.0832509509051527,28.3223305104611,Mapped,SITE-605
SITE-447,2016,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.2379819241921803,27.908764896099804,Mapped,SITE-447
SITE-227,2025,Artisanal,Diamond,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.6238336512407554,28.114440463808698,Mapped,SITE-227
SITE-904,2013,Artisanal,Diamond,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.9708874146441577,28.317496108296012,Mapped,SITE-904
SITE-706,2011,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,2.173549162783306,27.556656411355664,Mapped,SITE-706
SITE-266,2013,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,2.4664612005259405,28.821579210313665,Mapped,SITE-266
SITE-469,2019,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,2.1688609026272796,29.415081739516012,Mapped,SITE-469
SITE-871,2020,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.1470554788509535,27.645394071806702,Mapped,SITE-871
SITE-922,2016,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,2.4111241827078804,28.106261117888913,Mapped,SITE-922
SITE-457,2008,Artisanal,Gold,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.4617072254826917,28.591660429401006,Mapped,SITE-457
SITE-528,2020,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.6635737022921124,28.905594091400125,Mapped,SITE-528
SITE-534,2022,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,2.253218919547419,27.93856876256757,Mapped,SITE-534
SITE-323,2006,Artisanal,Gold,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,2.2094589687971564,27.820226082181915,Mapped,SITE-323
SITE-436,2022,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.9969487594315507,29.29694536973052,Mapped,SITE-436
SITE-905,2026,Artisanal,Diamond,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,2.2548558287700518,27.633442543966257,Mapped,SITE-905
SITE-612,2024,Artisanal,Diamond,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,2.3909072435326455,29.34254580840503,Mapped,SITE-612
SITE-798,2013,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,2.0940874248704877,27.672940889192596,Mapped,SITE-798
SITE-710,2003,Artisanal,Diamond,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.3450708145905264,29.595734936429817,Mapped,SITE-710
