year,month,fire_type,severity,burned_area_ha,forest_loss_ha,cumulative_loss_ha,cumulative_loss_percent,confidence,source,frp,latitude,longitude
2001,1,Wildfire/natural vegetation fire,Extreme,1.7,0.72,59.55,0.0043,76,VIIRS,114.21,1.4361288688174603,28.435035494067897
2001,1,Agricultural fire,High,4.73,3.9,63.45,0.0046,65,VIIRS,76.81,1.0338084762832365,29.149322756429463
2001,1,Agricultural fire,Extreme,5.73,3.87,67.32,0.0049,97,VIIRS,7.01,1.4041950338436338,28.595833071234605
2001,1,Agricultural fire,Moderate,2.14,1.72,69.04,0.005,70,VIIRS,19.85,2.4332661944465963,28.90920991973566
2001,1,Hunting/fire camp,High,5.09,2.5,71.54,0.0052,88,MODIS,59.56,2.248997772162538,28.661700652172193
2001,1,Wildfire/natural vegetation fire,Extreme,2.15,1.64,73.18,0.0053,87,MODIS,120.78,1.4001839806906546,28.329927323444576
2001,1,Agricultural fire,High,1.78,1.34,74.52,0.0054,91,VIIRS,68.8,2.3176628499035745,29.1810100780512
2001,1,Agricultural fire,High,3.86,2.75,77.27,0.0056,80,MODIS,66.11,1.4808098190901617,29.034721021009577
2001,1,Agricultural fire,Extreme,5.87,1.2,78.47,0.0057,97,VIIRS,77.54,1.4657086173875553,28.158336937112736
2001,1,Agricultural fire,Moderate,3.73,1.88,80.35,0.0059,92,MODIS,50.58,2.448615738247869,28.280852209961143
2001,1,Agricultural fire,High,0.85,0.35,80.7,0.0059,97,VIIRS,79.39,1.6681226569367638,28.371005979436156
2001,1,Agricultural fire,Low,2.0,0.93,81.63,0.0059,84,VIIRS,13.76,1.1289203451671233,28.71088471285566
2001,1,Wildfire/natural vegetation fire,Extreme,1.08,0.82,82.45,0.006,85,MODIS,115.02,2.096783317796136,28.29331326362855
2001,1,Agricultural fire,Extreme,6.05,3.45,85.9,0.0063,62,MODIS,26.7,2.341426801315229,29.116336795865962
2001,1,Agricultural fire,High,3.86,3.32,89.22,0.0065,94,MODIS,73.47,1.3217001457960393,28.00887815449815
2001,1,Wildfire/natural vegetation fire,Extreme,2.34,1.76,90.98,0.0066,79,VIIRS,147.55,1.065810652292682,28.86546983559028
2001,1,Agricultural fire,Low,1.18,1.04,92.02,0.0067,92,MODIS,10.82,1.2663989604261539,28.57440500158975
2001,1,Charcoal production,Extreme,6.16,4.53,96.55,0.007,74,MODIS,54.64,1.9853085556458212,29.195616243542016
2001,1,Wildfire/natural vegetation fire,Extreme,1.82,0.46,97.01,0.0071,73,VIIRS,149.59,1.9594152450940872,28.942990163969345
2001,1,Agricultural fire,Moderate,2.48,1.63,98.64,0.0072,93,VIIRS,35.27,1.5478286277379811,28.611750928934725
2001,1,Wildfire/natural vegetation fire,Extreme,5.53,3.68,102.32,0.0075,98,MODIS,122.21,2.12830114786697,28.39460388628811
2001,1,Wildfire/natural vegetation fire,High,3.86,3.31,105.63,0.0077,88,MODIS,98.28,1.760714956789419,29.068964876105074
2001,1,Hunting/fire camp,Moderate,2.39,0.6,106.23,0.0077,76,MODIS,16.01,2.384502015545512,28.570411316688684
2001,1,Mining-related fire,Extreme,5.82,2.6,108.83,0.0079,98,MODIS,112.03,1.3048785397815514,28.310980244825554
2001,1,Wildfire/natural vegetation fire,Extreme,6.11,4.4,113.23,0.0082,80,MODIS,127.52,1.9002244716205223,28.10847613145101
2001,1,Wildfire/natural vegetation fire,Extreme,1.25,0.65,113.88,0.0083,90,MODIS,135.7,2.0770589769191012,28.863320688984114
2001,1,Hunting/fire camp,Moderate,2.2,1.55,115.43,0.0084,60,MODIS,31.36,1.1742487204181467,28.534848253603265
2001,1,Wildfire/natural vegetation fire,Extreme,5.54,2.52,117.95,0.0086,100,VIIRS,126.38,1.1833833559918874,28.61803017360037
2001,1,Wildfire/natural vegetation fire,Extreme,2.84,2.15,120.1,0.0087,65,VIIRS,111.41,2.2774700489525004,28.000062474053795
2001,1,Hunting/fire camp,High,3.64,1.65,121.75,0.0089,76,VIIRS,60.16,2.4492466206575116,28.374686801345305
2001,1,Hunting/fire camp,Extreme,6.11,2.41,124.16,0.009,73,MODIS,32.78,1.8817017048082378,28.76619016852572
2001,1,Agricultural fire,Moderate,2.07,1.48,125.64,0.0092,68,MODIS,53.89,2.195606423728591,28.25112210421582
2001,1,Wildfire/natural vegetation fire,Extreme,3.05,0.78,126.42,0.0092,99,MODIS,140.5,1.8542865768519112,28.197258720195748
2001,1,Charcoal production,High,5.03,4.46,130.88,0.0095,89,VIIRS,35.34,2.3179101388383274,28.59863526568006
2001,1,Wildfire/natural vegetation fire,Extreme,4.9,1.22,132.1,0.0096,82,MODIS,134.63,1.8330209418357102,28.151033606964972
2001,1,Wildfire/natural vegetation fire,Extreme,6.1,5.48,137.58,0.01,83,MODIS,84.35,1.6232304486590996,28.780262551743323
2001,1,Agricultural fire,High,4.49,1.96,139.54,0.0102,67,VIIRS,20.46,2.042257532703666,28.121450928216976
2001,1,Wildfire/natural vegetation fire,Extreme,1.41,0.98,140.52,0.0102,90,VIIRS,122.26,1.385407223968393,28.97108877401069
2001,1,Agricultural fire,Moderate,0.53,0.11,140.63,0.0102,69,MODIS,42.62,2.038798506138212,29.076397327780985
2001,1,Wildfire/natural vegetation fire,Extreme,2.01,1.31,141.94,0.0103,93,VIIRS,142.25,1.7280398593133588,28.848165049465663
2001,1,Hunting/fire camp,High,2.31,1.79,143.73,0.0105,90,MODIS,67.22,1.7337683486747282,28.37351632030107
2001,1,Hunting/fire camp,High,4.99,3.91,147.64,0.0108,95,VIIRS,65.19,1.435929874718492,28.62623716584831
2001,1,Agricultural fire,Moderate,2.66,1.1,148.74,0.0108,87,MODIS,37.16,1.7792287288211373,28.22657319619532
2001,1,Wildfire/natural vegetation fire,Extreme,3.69,1.59,150.33,0.011,94,MODIS,128.68,1.6555493423322458,28.82266556548228
2001,1,Hunting/fire camp,Moderate,0.75,0.47,150.8,0.011,83,MODIS,37.45,2.2981326922815275,28.421316377222183
2001,1,Wildfire/natural vegetation fire,Extreme,5.04,2.08,152.88,0.0111,62,VIIRS,138.0,1.8934020731462313,28.178162458597573
2001,1,Wildfire/natural vegetation fire,Extreme,3.48,2.44,155.32,0.0113,92,MODIS,105.09,1.1835677286727249,28.762393513440145
2001,1,Wildfire/natural vegetation fire,High,1.08,0.97,156.29,0.0114,75,VIIRS,80.84,2.1021225291220356,29.087753203244
2001,1,Hunting/fire camp,High,5.32,3.7,159.99,0.0117,74,MODIS,36.76,1.312258835642779,28.41002223496941
2001,1,Wildfire/natural vegetation fire,High,3.76,0.89,160.88,0.0117,92,VIIRS,93.79,1.1880828237603427,28.472744801323984
2001,1,Agricultural fire,Extreme,5.55,3.12,164.0,0.0119,61,MODIS,17.13,2.3375135175567188,28.354340538904466
2001,1,Wildfire/natural vegetation fire,Extreme,3.3,1.7,165.7,0.0121,95,MODIS,117.57,1.1780849146794687,28.90818921580894
2001,1,Wildfire/natural vegetation fire,Extreme,1.28,0.87,166.57,0.0121,61,MODIS,146.55,1.9430962516058568,28.30938661567957
2001,1,Hunting/fire camp,Low,0.6,0.41,166.98,0.0122,60,VIIRS,14.97,2.038526566792025,28.443202241139595
2001,1,Charcoal production,High,4.69,4.11,171.09,0.0125,65,MODIS,26.61,1.580694476306781,28.83799452931019
2001,1,Wildfire/natural vegetation fire,Extreme,0.89,0.78,171.87,0.0125,93,MODIS,106.56,2.2592957334985706,28.55009924389657
2001,1,Agricultural fire,High,5.03,2.26,174.13,0.0127,72,VIIRS,29.19,1.1083485763559797,29.116979122726203
2001,1,Wildfire/natural vegetation fire,Extreme,3.6,2.78,176.91,0.0129,70,MODIS,125.73,2.483012510629069,28.331517974126236
2001,1,Hunting/fire camp,High,4.59,1.99,178.9,0.013,60,MODIS,50.21,1.6954970874473223,28.434666830889807
2001,1,Charcoal production,Extreme,5.65,4.55,183.45,0.0134,72,MODIS,72.13,2.290661307802215,28.241592852421466
2001,1,Wildfire/natural vegetation fire,Extreme,2.32,1.48,184.93,0.0135,73,MODIS,109.71,1.8412851486798292,28.353432174008383
2001,1,Settlement-related fire,High,4.54,1.65,186.58,0.0136,75,MODIS,49.3,1.2371086278274195,28.10559659148522
2001,1,Hunting/fire camp,High,4.71,2.26,188.84,0.0138,86,VIIRS,38.19,2.471744993406169,28.073035778868327
2001,1,Wildfire/natural vegetation fire,Extreme,3.14,1.78,190.62,0.0139,99,VIIRS,149.83,1.240111350503357,28.193328102782633
2001,1,Agricultural fire,Moderate,2.11,1.48,192.1,0.014,69,VIIRS,28.3,1.9202454305854029,28.173843819121835
2001,1,Wildfire/natural vegetation fire,High,3.2,2.34,194.44,0.0142,62,MODIS,83.2,2.2450788104707993,28.143838548054696
2001,1,Agricultural fire,High,1.12,0.47,194.91,0.0142,66,MODIS,73.8,1.2933887070348475,28.581514541943097
2001,1,Agricultural fire,High,2.63,1.69,196.6,0.0143,72,VIIRS,70.14,1.6288313123055,28.699508222948744
2001,1,Wildfire/natural vegetation fire,Extreme,3.01,1.53,198.13,0.0144,90,MODIS,131.72,2.140384141667597,28.086802177853993
2001,1,Wildfire/natural vegetation fire,High,3.53,0.84,198.97,0.0145,63,VIIRS,97.78,2.404253657817674,29.11125471360931
2001,1,Agricultural fire,Low,1.83,1.02,199.99,0.0146,85,MODIS,19.39,2.1740670713921615,28.996992370319948
2001,1,Agricultural fire,High,3.33,1.58,201.57,0.0147,79,VIIRS,76.94,1.758686728320806,28.032800317220154
2001,1,Hunting/fire camp,High,0.93,0.55,202.12,0.0147,67,VIIRS,63.96,1.7898988808841072,28.200175176312186
2001,1,Wildfire/natural vegetation fire,Extreme,2.51,0.71,202.83,0.0148,97,MODIS,134.15,2.031220755033667,28.12442269018134
2001,1,Agricultural fire,Low,1.69,0.46,203.29,0.0148,65,VIIRS,23.34,1.202076359450249,28.983422035153293
2001,1,Wildfire/natural vegetation fire,Extreme,1.86,1.19,204.48,0.0149,90,MODIS,132.71,1.8230297700050646,28.227128286000596
2001,1,Agricultural fire,Low,1.51,0.75,205.23,0.015,98,MODIS,23.82,1.8404621549265099,28.96675018587196
2001,1,Wildfire/natural vegetation fire,Extreme,0.98,0.27,205.5,0.015,68,MODIS,102.86,1.2867231282267286,29.104663065319148
2001,1,Wildfire/natural vegetation fire,High,2.38,1.82,207.32,0.0151,66,VIIRS,88.22,2.270433703111478,28.51996517384068
2001,1,Wildfire/natural vegetation fire,High,0.98,0.35,207.67,0.0151,86,MODIS,84.5,1.6935065168992582,28.802835645059357
2001,1,Hunting/fire camp,High,5.15,3.09,210.76,0.0154,72,MODIS,33.32,1.5335999636396669,28.65015151619157
2001,1,Agricultural fire,Low,1.67,1.4,212.16,0.0155,76,MODIS,24.35,1.4546001443405598,28.23605642968313
2001,1,Wildfire/natural vegetation fire,Extreme,3.88,1.9,214.06,0.0156,85,MODIS,138.24,1.0061670383610868,29.06623299458951
2001,1,Wildfire/natural vegetation fire,Extreme,2.59,1.14,215.2,0.0157,60,MODIS,130.83,2.1333997061326277,28.995001865819116
2001,1,Agricultural fire,Moderate,3.24,0.78,215.98,0.0157,92,VIIRS,9.75,1.8833972998843884,29.183658631528996
2001,1,Charcoal production,Extreme,6.17,4.67,220.65,0.0161,79,MODIS,48.11,1.053244526080556,28.804141935035872
2001,2,Hunting/fire camp,High,1.05,0.5,221.15,0.0161,83,VIIRS,70.31,1.488774327450219,28.389340821140244
2001,2,Agricultural fire,Low,0.84,0.34,221.49,0.0161,96,MODIS,22.1,2.2406131778817393,28.939934474946682
2001,2,Wildfire/natural vegetation fire,Extreme,4.73,2.85,224.34,0.0163,61,MODIS,120.91,2.0705483936168014,28.098627689046218
2001,2,Agricultural fire,Extreme,5.73,2.45,226.79,0.0165,97,MODIS,78.8,2.4146351713019802,29.046269651321303
2001,2,Agricultural fire,High,2.08,1.0,227.79,0.0166,70,MODIS,74.59,1.308725274076615,28.222245993855562
2001,2,Wildfire/natural vegetation fire,Extreme,5.42,4.75,232.54,0.0169,89,VIIRS,123.15,1.662389437257976,28.902457382376557
2001,2,Wildfire/natural vegetation fire,Extreme,5.6,2.71,235.25,0.0171,70,MODIS,145.4,1.1436274790616971,28.163974618919273
2001,2,Hunting/fire camp,High,2.18,1.34,236.59,0.0172,80,VIIRS,69.78,1.603727526977067,28.46395535841101
2001,2,Settlement-related fire,Extreme,0.83,0.61,237.2,0.0173,79,VIIRS,104.39,1.2191639475976923,28.105772526813514
2001,2,Mining-related fire,Extreme,5.58,4.76,241.96,0.0176,70,MODIS,133.53,1.3235981905814402,28.33922479982699
2001,2,Agricultural fire,Extreme,5.8,2.36,244.32,0.0178,86,MODIS,55.01,2.0637484901714647,28.117520187840523
2001,2,Wildfire/natural vegetation fire,Extreme,2.51,0.6,244.92,0.0178,89,MODIS,111.43,1.311100430476555,28.965568493958997
2001,2,Wildfire/natural vegetation fire,High,1.09,0.57,245.49,0.0179,88,MODIS,95.86,2.209975213109938,28.445194778549393
2001,2,Agricultural fire,High,4.61,2.12,247.61,0.018,63,VIIRS,73.69,1.9380154796755134,28.495911116844077
2001,2,Agricultural fire,Moderate,2.56,2.06,249.67,0.0182,82,MODIS,12.1,1.576225181029322,28.46874097680452
2001,2,Agricultural fire,Moderate,2.47,2.06,251.73,0.0183,79,MODIS,26.21,2.028886276366392,28.943431513627495
2001,2,Agricultural fire,Moderate,3.28,2.91,254.64,0.0186,76,MODIS,36.45,1.1644915873106598,28.522456834743355
2001,2,Agricultural fire,High,3.3,2.26,256.9,0.0187,62,VIIRS,76.74,1.3755056120565619,28.341930994812945
2001,2,Agricultural fire,Moderate,1.17,0.57,257.47,0.0188,81,MODIS,32.41,1.4959218937987,28.07551475141305
2001,2,Agricultural fire,Moderate,0.79,0.17,257.64,0.0188,80,MODIS,56.49,1.8187125609177655,28.155124967375006
2001,2,Agricultural fire,Moderate,2.41,1.6,259.24,0.0189,64,VIIRS,39.82,1.7446517148171754,29.139531758561652
2001,2,Agricultural fire,High,4.79,3.97,263.21,0.0192,80,MODIS,11.49,1.4587167553792435,29.00188868726775
2001,2,Hunting/fire camp,Moderate,3.13,2.33,265.54,0.0193,79,VIIRS,50.32,1.364858287834115,28.88876766329805
2001,2,Wildfire/natural vegetation fire,High,1.87,1.02,266.56,0.0194,100,VIIRS,89.78,1.1028638783681883,29.089204595873955
2001,2,Wildfire/natural vegetation fire,Extreme,4.55,1.12,267.68,0.0195,100,MODIS,141.85,1.2459183139602565,28.614184538452875
2001,2,Agricultural fire,Moderate,3.02,1.51,269.19,0.0196,82,VIIRS,16.14,1.0598671488567055,28.29807411150823
2001,2,Wildfire/natural vegetation fire,Extreme,3.86,2.25,271.44,0.0198,73,VIIRS,147.56,2.4666490775273227,28.509856878302596
2001,2,Agricultural fire,Moderate,2.05,1.04,272.48,0.0199,68,VIIRS,36.88,1.2698424686931964,28.991804446013006
2001,2,Hunting/fire camp,Moderate,0.82,0.6,273.08,0.0199,93,MODIS,38.25,1.8700477731565766,29.156909271306294
2001,2,Wildfire/natural vegetation fire,Extreme,5.62,4.45,277.53,0.0202,92,MODIS,131.72,2.092500830492851,28.7895833973693
2001,2,Agricultural fire,Extreme,5.77,3.25,280.78,0.0205,96,MODIS,67.86,2.057148586547613,28.226650688688093
2001,2,Wildfire/natural vegetation fire,High,3.64,1.85,282.63,0.0206,62,MODIS,86.93,2.476089905000162,28.28508442316696
2001,2,Wildfire/natural vegetation fire,High,0.55,0.26,282.89,0.0206,95,MODIS,90.62,2.046640704639029,28.20356588576475
2001,2,Hunting/fire camp,Low,0.53,0.4,283.29,0.0206,81,MODIS,20.22,2.3988749271741248,28.290878504927473
2001,2,Agricultural fire,Moderate,2.79,1.02,284.31,0.0207,76,MODIS,47.75,1.6084598550294447,28.46581255768243
2001,2,Wildfire/natural vegetation fire,High,2.97,1.53,285.84,0.0208,71,MODIS,80.77,1.301146049449114,28.631579768825482
2001,2,Agricultural fire,Moderate,3.68,2.22,288.06,0.021,95,VIIRS,42.04,2.2906974235049473,29.042731896916276
2001,2,Hunting/fire camp,Moderate,3.59,2.26,290.32,0.0212,97,VIIRS,59.91,1.0061074828233587,28.5841835254011
2001,2,Agricultural fire,Moderate,3.48,2.1,292.42,0.0213,77,VIIRS,40.24,2.0006945437757855,28.60695925177376
2001,2,Wildfire/natural vegetation fire,Extreme,4.16,3.07,295.49,0.0215,89,VIIRS,112.0,1.4984318258121343,28.196899430208923
2001,2,Settlement-related fire,Moderate,3.25,2.91,298.4,0.0217,75,VIIRS,49.63,2.1172377019883064,28.500416005281355
2001,2,Agricultural fire,Moderate,2.4,1.54,299.94,0.0219,87,MODIS,43.76,1.4887789413854347,28.338530788360597
2001,2,Wildfire/natural vegetation fire,Extreme,5.12,2.44,302.38,0.022,61,VIIRS,142.4,2.2910959951825216,28.123698079321255
2001,2,Wildfire/natural vegetation fire,Extreme,0.56,0.32,302.7,0.0221,65,MODIS,126.55,1.8675553788436807,28.516650267624076
2001,2,Agricultural fire,Moderate,0.97,0.45,303.15,0.0221,66,MODIS,40.22,1.698403013046523,28.048889921633627
2001,2,Agricultural fire,Extreme,6.24,3.64,306.79,0.0224,79,MODIS,18.53,2.071867400931307,28.047601812714603
2001,2,Charcoal production,High,4.7,4.15,310.94,0.0227,100,VIIRS,53.38,1.6087585125731938,28.980217897612828
2001,2,Wildfire/natural vegetation fire,Extreme,2.56,1.0,311.94,0.0227,98,VIIRS,127.82,1.5477229704440496,28.625968552055085
2001,3,Agricultural fire,Low,0.51,0.35,312.29,0.0228,81,VIIRS,27.33,1.5182977853931268,29.18028272031888
2001,3,Hunting/fire camp,Extreme,4.62,2.05,314.34,0.0229,78,MODIS,148.57,1.329352289724758,29.02467344264472
2001,3,Agricultural fire,High,3.51,2.65,316.99,0.0231,95,MODIS,95.55,1.3813054444898565,29.10274084362984
2001,3,Charcoal production,Extreme,6.17,4.45,321.44,0.0234,72,VIIRS,78.32,2.2838486096397537,28.07360324307719
2001,3,Hunting/fire camp,Moderate,2.94,2.3,323.74,0.0236,64,MODIS,24.47,2.414113078055664,28.33418082661779
2001,3,Agricultural fire,Extreme,5.29,2.74,326.48,0.0238,81,VIIRS,139.66,2.1479528951188014,28.70242922513128
2001,3,Agricultural fire,Extreme,5.34,2.6,329.08,0.024,81,VIIRS,112.29,1.386404063003755,28.165485672696708
2001,3,Agricultural fire,Low,1.44,1.15,330.23,0.0241,92,MODIS,25.72,2.0466505499841827,28.05055990542486
2001,3,Agricultural fire,High,0.95,0.22,330.45,0.0241,99,MODIS,94.79,1.9329203977410843,28.85620986790377
2001,3,Agricultural fire,High,4.2,2.59,333.04,0.0243,62,MODIS,99.48,2.350934055063944,28.176783957314015
2001,3,Agricultural fire,Extreme,4.77,2.7,335.74,0.0245,86,MODIS,134.05,1.0956538462517884,28.07751872563352
2001,3,Agricultural fire,Extreme,4.68,3.04,338.78,0.0247,72,MODIS,135.0,1.4167703019236904,28.482878910182027
2001,3,Agricultural fire,Extreme,4.4,3.42,342.2,0.0249,97,MODIS,105.43,1.0553563656035603,28.729591476274294
2001,3,Agricultural fire,Moderate,3.32,1.2,343.4,0.025,66,MODIS,17.38,1.8507349248965375,28.999962987580624
2001,3,Hunting/fire camp,Moderate,3.08,1.23,344.63,0.0251,91,MODIS,20.11,2.170564774123587,28.08168772786869
2001,4,Slash-and-burn agriculture,Extreme,5.04,3.17,347.8,0.0253,73,MODIS,145.05,2.0918116243639537,28.51428202494678
2001,4,Agricultural fire,Low,0.53,0.42,348.22,0.0254,100,MODIS,28.82,2.3182952139638706,28.895216940675116
2001,4,Hunting/fire camp,Extreme,1.9,0.71,348.93,0.0254,67,MODIS,147.82,1.3311345173131461,28.108625398157066
2001,4,Agricultural fire,Extreme,6.21,1.65,350.58,0.0255,77,VIIRS,96.14,1.1414421008290758,28.891743126843437
2001,4,Hunting/fire camp,High,5.38,1.9,352.48,0.0257,81,MODIS,5.58,1.9136977178404329,28.789074531641482
2001,4,Hunting/fire camp,High,5.5,3.74,356.22,0.026,77,MODIS,42.75,1.7813718485580807,28.03203676919454
2001,4,Hunting/fire camp,High,4.5,2.35,358.57,0.0261,79,MODIS,70.89,2.2943277341572887,28.07111835295458
2001,4,Hunting/fire camp,Extreme,3.21,0.71,359.28,0.0262,76,VIIRS,122.99,1.6423019878439145,28.07539001990877
2001,4,Agricultural fire,Extreme,6.23,3.52,362.8,0.0264,64,MODIS,45.98,2.3656363413749277,28.862658830753723
2001,4,Agricultural fire,Extreme,4.7,2.4,365.2,0.0266,60,MODIS,118.03,1.2166376095581248,28.374907709425013
2001,4,Hunting/fire camp,Low,1.33,0.8,366.0,0.0267,73,MODIS,10.82,2.1589747983700924,28.292656015586807
2001,4,Agricultural fire,High,4.72,2.34,368.34,0.0268,85,VIIRS,67.41,1.5476767348573663,28.886328951062254
2001,5,Agricultural fire,High,0.78,0.29,368.63,0.0269,84,VIIRS,86.64,2.378619729680924,28.816372918949885
2001,5,Agricultural fire,Extreme,3.58,2.43,371.06,0.027,95,VIIRS,103.52,1.5888134907708202,28.67689764446651
2001,5,Agricultural fire,Extreme,1.75,0.51,371.57,0.0271,76,MODIS,127.35,2.0120750972906953,28.31457870871259
2001,5,Hunting/fire camp,Moderate,2.08,1.58,373.15,0.0272,97,VIIRS,50.48,2.4558268859989925,28.036102206331822
2001,5,Agricultural fire,High,1.34,0.93,374.08,0.0273,99,MODIS,71.83,2.4040350988049255,28.432910170835335
2001,5,Agricultural fire,Extreme,2.16,0.65,374.73,0.0273,80,MODIS,119.95,2.0203828832983977,28.746491628692237
2001,5,Hunting/fire camp,Extreme,3.91,3.33,378.06,0.0275,65,MODIS,103.13,2.3542824077303193,29.14892041900077
2001,5,Agricultural fire,High,4.06,3.19,381.25,0.0278,79,MODIS,21.96,1.1330416420247087,28.70172462086286
2001,5,Agricultural fire,High,2.26,0.8,382.05,0.0278,75,MODIS,72.2,1.912325986945357,28.64213665500528
2001,5,Agricultural fire,Extreme,2.37,1.55,383.6,0.0279,60,VIIRS,137.07,1.557749315382866,28.17279895873663
2001,5,Agricultural fire,Moderate,2.34,0.91,384.51,0.028,87,VIIRS,12.11,1.2264021273357555,28.023080123612434
2001,6,Agricultural fire,Moderate,1.95,0.74,385.25,0.0281,66,VIIRS,35.5,2.3238871225926663,28.262979596735807
2001,6,Hunting/fire camp,Moderate,3.08,2.15,387.4,0.0282,91,MODIS,20.08,1.036262628995177,29.05461486854
2001,6,Charcoal production,Extreme,5.28,4.06,391.46,0.0285,77,VIIRS,137.14,1.6184445760507682,28.591953273717614
2001,6,Hunting/fire camp,High,2.04,1.83,393.29,0.0287,99,MODIS,73.77,1.9772472151025158,28.755597990814177
2001,6,Hunting/fire camp,Extreme,3.77,2.66,395.95,0.0288,64,MODIS,135.89,2.1349728744097236,29.05317749606765
2001,6,Hunting/fire camp,Moderate,2.8,1.84,397.79,0.029,99,MODIS,38.4,1.1630268225925744,29.013148088210325
2001,6,Agricultural fire,Low,1.33,1.02,398.81,0.0291,89,VIIRS,11.14,1.9116757888398026,28.710367315870975
2001,6,Agricultural fire,High,4.46,2.56,401.37,0.0292,100,VIIRS,54.5,1.7926321876502278,28.72330596715199
2001,6,Hunting/fire camp,Extreme,0.99,0.67,402.04,0.0293,75,VIIRS,108.93,1.16266318697014,28.273399782508633
