mining_site_id,concession_id,mining_type,mineral_type,operator_name,artisanal_or_industrial,year,mining_area_ha,forest_loss_due_to_mining_ha,burned_area_related_ha,carbon_loss_tons,habitat_loss_ha,biodiversity_risk_level,proximity_to_river_km,proximity_to_road_km,inside_protected_area,source_dataset,source_provider,source_url,retrieval_date,processing_method,confidence_level,date_processed
SITE-2003-000,CAMI-8645,PE (Exploitation),Tungsten,Kibali Goldmines,Artisanal,2003,17.59,16.07,1.76,4017.07,17.68,High,3.63,4.73,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.88,2026-05-15
SITE-2003-001,CAMI-3139,ZEA (Artisanal Zone),Tantalum,Kibali Goldmines,Artisanal,2003,15.17,14.4,1.52,3599.4,15.84,High,1.46,5.38,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.94,2026-05-15
CONC-2003-002,CAMI-4545,ZEA (Artisanal Zone),Tantalum,Alphamin Bisie Mining,Industrial,2003,11.59,10.05,1.16,2512.44,11.05,Critical,2.65,8.03,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.92,2026-05-15
CONC-2003-003,CAMI-2484,ZEA (Artisanal Zone),Gold,Independent Miners,Industrial,2003,8.31,6.67,0.83,1667.61,7.34,Medium,2.81,16.91,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15
CONC-2004-000,CAMI-5299,PE (Exploitation),Tungsten,Kibali Goldmines,Industrial,2004,9.64,7.88,0.96,1969.36,8.67,Medium,1.8,13.79,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15
SITE-2004-001,CAMI-4227,ZEA (Artisanal Zone),Diamond,Independent Miners,Artisanal,2004,20.18,18.67,2.02,4667.44,20.54,High,2.05,8.03,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.96,2026-05-15
SITE-2004-002,CAMI-5185,ZEA (Artisanal Zone),Tin,Artisanal Cooperatives,Artisanal,2004,11.79,10.79,1.18,2698.49,11.87,High,4.86,1.25,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15
CONC-2005-000,CAMI-8499,PR (Exploration),Gold,Alphamin Bisie Mining,Industrial,2005,11.85,11.11,1.19,2777.76,12.22,Critical,1.58,16.57,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.98,2026-05-15
CONC-2005-001,CAMI-5893,PR (Exploration),Tin,Banro Corporation,Industrial,2005,7.9,7.19,0.79,1797.54,7.91,High,1.27,12.69,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.88,2026-05-15
SITE-2005-002,CAMI-3574,PE (Exploitation),Tin,Alphamin Bisie Mining,Artisanal,2005,17.76,16.48,1.78,4119.61,18.13,Critical,2.36,14.54,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15
CONC-2005-003,CAMI-3069,ZEA (Artisanal Zone),Tantalum,Alphamin Bisie Mining,Industrial,2005,14.18,11.73,1.42,2933.32,12.91,Medium,0.38,15.52,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.95,2026-05-15
SITE-2005-004,CAMI-2834,PR (Exploration),Tin,Independent Miners,Artisanal,2005,21.12,15.82,2.11,3953.98,17.4,High,0.48,7.23,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.9,2026-05-15
SITE-2005-005,CAMI-7010,PE (Exploitation),Tin,Artisanal Cooperatives,Artisanal,2005,18.82,17.25,1.88,4312.34,18.97,High,1.96,4.39,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15
SITE-2005-006,CAMI-4698,PE (Exploitation),Diamond,Independent Miners,Artisanal,2005,16.22,12.17,1.62,3041.3,13.38,Medium,4.8,9.12,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.92,2026-05-15
CONC-2005-007,CAMI-8231,PE (Exploitation),Diamond,Independent Miners,Industrial,2005,16.43,11.56,1.64,2890.36,12.72,Critical,4.35,8.59,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.93,2026-05-15
SITE-2006-000,CAMI-8055,PE (Exploitation),Gold,Alphamin Bisie Mining,Artisanal,2006,19.89,14.29,1.99,3573.07,15.72,Medium,4.06,19.72,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.88,2026-05-15
SITE-2006-001,CAMI-9128,PR (Exploration),Tin,Independent Miners,Artisanal,2006,18.6,14.84,1.86,3711.06,16.33,High,3.42,3.56,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.88,2026-05-15
SITE-2006-002,CAMI-7365,ZEA (Artisanal Zone),Tin,Kibali Goldmines,Artisanal,2006,19.08,15.18,1.91,3795.11,16.7,High,4.26,15.1,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.98,2026-05-15
SITE-2006-003,CAMI-2727,PR (Exploration),Copper,Artisanal Cooperatives,Artisanal,2006,23.71,21.28,2.37,5320.44,23.41,High,0.28,8.37,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15
CONC-2006-004,CAMI-1564,PR (Exploration),Tungsten,Independent Miners,Industrial,2006,11.45,8.42,1.15,2103.85,9.26,Medium,2.64,8.08,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.95,2026-05-15
SITE-2006-005,CAMI-1978,ZEA (Artisanal Zone),Tungsten,Banro Corporation,Artisanal,2006,19.38,17.21,1.94,4301.35,18.93,High,1.23,1.41,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.94,2026-05-15
CONC-2007-000,CAMI-2744,ZEA (Artisanal Zone),Gold,Banro Corporation,Industrial,2007,17.5,16.56,1.75,4140.63,18.22,Critical,0.44,11.96,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.93,2026-05-15
CONC-2007-001,CAMI-8869,PE (Exploitation),Gold,Independent Miners,Industrial,2007,10.6,9.06,1.06,2265.88,9.97,Medium,4.79,18.52,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.96,2026-05-15
CONC-2007-002,CAMI-4517,PR (Exploration),Tantalum,Kibali Goldmines,Industrial,2007,17.25,13.08,1.73,3269.76,14.39,Medium,1.32,14.19,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15
CONC-2007-003,CAMI-3733,PE (Exploitation),Tantalum,Kibali Goldmines,Industrial,2007,16.76,14.47,1.68,3616.94,15.91,High,0.24,1.9,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.88,2026-05-15
CONC-2007-004,CAMI-4089,PE (Exploitation),Tin,Banro Corporation,Industrial,2007,13.6,10.15,1.36,2537.19,11.16,Medium,4.79,2.65,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15
SITE-2008-000,CAMI-9136,PE (Exploitation),Tantalum,Independent Miners,Artisanal,2008,25.39,18.3,2.54,4575.17,20.13,High,3.98,1.93,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15
SITE-2008-001,CAMI-3176,PE (Exploitation),Copper,Artisanal Cooperatives,Artisanal,2008,25.66,21.9,2.57,5474.76,24.09,Medium,2.94,11.94,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15
SITE-2008-002,CAMI-7570,PR (Exploration),Tungsten,Independent Miners,Artisanal,2008,21.82,20.73,2.18,5181.39,22.8,High,2.61,0.88,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15
CONC-2008-003,CAMI-9331,PE (Exploitation),Tungsten,Alphamin Bisie Mining,Industrial,2008,10.45,9.72,1.04,2430.52,10.69,High,0.24,17.38,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.85,2026-05-15
SITE-2009-000,CAMI-6728,PE (Exploitation),Gold,Independent Miners,Artisanal,2009,24.49,21.9,2.45,5474.76,24.09,High,4.99,10.2,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15
SITE-2009-001,CAMI-5156,PE (Exploitation),Tantalum,Alphamin Bisie Mining,Artisanal,2009,26.54,20.7,2.65,5174.59,22.77,Medium,4.83,17.38,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.89,2026-05-15
CONC-2009-002,CAMI-6958,PR (Exploration),Diamond,Artisanal Cooperatives,Industrial,2009,10.88,9.18,1.09,2294.13,10.09,Critical,4.9,10.91,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15
SITE-2009-003,CAMI-3833,PR (Exploration),Gold,Artisanal Cooperatives,Artisanal,2009,20.94,18.48,2.09,4620.04,20.33,Medium,0.48,19.98,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.89,2026-05-15
CONC-2009-004,CAMI-5310,PE (Exploitation),Tungsten,Artisanal Cooperatives,Industrial,2009,19.14,14.03,1.91,3508.66,15.44,Critical,4.79,2.49,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.88,2026-05-15
CONC-2009-005,CAMI-8626,ZEA (Artisanal Zone),Tantalum,Independent Miners,Industrial,2009,10.55,7.52,1.05,1879.15,8.27,Medium,3.61,19.29,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.88,2026-05-15
CONC-2010-000,CAMI-8018,ZEA (Artisanal Zone),Tantalum,Kibali Goldmines,Industrial,2010,10.68,9.55,1.07,2387.53,10.51,Critical,4.58,17.2,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15
CONC-2010-001,CAMI-8397,PE (Exploitation),Tin,Kibali Goldmines,Industrial,2010,11.94,10.95,1.19,2737.68,12.05,Critical,3.59,5.15,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15
CONC-2010-002,CAMI-7473,PE (Exploitation),Diamond,Artisanal Cooperatives,Industrial,2010,13.48,12.15,1.35,3038.71,13.37,Critical,1.56,4.11,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15
CONC-2010-003,CAMI-3393,PR (Exploration),Tantalum,Independent Miners,Industrial,2010,13.13,10.69,1.31,2672.16,11.76,Critical,1.38,18.04,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.89,2026-05-15
SITE-2010-004,CAMI-6404,ZEA (Artisanal Zone),Tantalum,Kibali Goldmines,Artisanal,2010,23.01,18.02,2.3,4504.81,19.82,High,2.39,2.51,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.95,2026-05-15
CONC-2010-005,CAMI-3684,PR (Exploration),Tantalum,Artisanal Cooperatives,Industrial,2010,11.47,9.07,1.15,2268.73,9.98,High,2.78,15.97,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.91,2026-05-15
SITE-2010-006,CAMI-5496,ZEA (Artisanal Zone),Tantalum,Independent Miners,Artisanal,2010,27.37,21.63,2.74,5406.74,23.79,Medium,0.66,3.52,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15
CONC-2010-007,CAMI-1787,PE (Exploitation),Gold,Independent Miners,Industrial,2010,13.46,10.07,1.35,2518.56,11.08,Medium,2.1,1.61,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.96,2026-05-15
SITE-2011-000,CAMI-4175,PE (Exploitation),Gold,Independent Miners,Artisanal,2011,28.2,19.74,2.82,4935.7,21.72,Medium,0.56,14.16,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.89,2026-05-15
SITE-2011-001,CAMI-1061,PR (Exploration),Gold,Banro Corporation,Artisanal,2011,29.75,24.0,2.97,6000.62,26.4,High,2.94,2.68,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.94,2026-05-15
CONC-2011-002,CAMI-8430,ZEA (Artisanal Zone),Tantalum,Independent Miners,Industrial,2011,12.7,11.86,1.27,2964.12,13.04,Medium,1.15,0.94,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.91,2026-05-15
CONC-2011-003,CAMI-5131,ZEA (Artisanal Zone),Tungsten,Banro Corporation,Industrial,2011,11.92,10.39,1.19,2598.58,11.43,Critical,4.15,12.4,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.96,2026-05-15
CONC-2012-000,CAMI-4155,PE (Exploitation),Copper,Alphamin Bisie Mining,Industrial,2012,14.14,12.24,1.41,3058.79,13.46,Critical,1.82,15.48,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.94,2026-05-15
SITE-2012-001,CAMI-3890,PR (Exploration),Diamond,Independent Miners,Artisanal,2012,26.62,20.35,2.66,5088.08,22.39,Critical,2.37,6.4,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.98,2026-05-15
SITE-2012-002,CAMI-4097,ZEA (Artisanal Zone),Gold,Artisanal Cooperatives,Artisanal,2012,30.99,24.8,3.1,6199.81,27.28,Critical,3.11,11.94,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.95,2026-05-15
SITE-2012-003,CAMI-6992,PE (Exploitation),Tantalum,Artisanal Cooperatives,Artisanal,2012,32.76,24.81,3.28,6203.75,27.3,Medium,1.06,15.49,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15
CONC-2012-004,CAMI-6251,ZEA (Artisanal Zone),Gold,Kibali Goldmines,Industrial,2012,11.16,8.92,1.12,2230.0,9.81,Critical,1.79,3.21,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15
CONC-2013-000,CAMI-2244,PE (Exploitation),Tin,Independent Miners,Industrial,2013,15.83,11.77,1.58,2942.72,12.95,Critical,4.8,19.32,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.9,2026-05-15
CONC-2013-001,CAMI-8294,PE (Exploitation),Copper,Banro Corporation,Industrial,2013,11.69,9.88,1.17,2470.23,10.87,Critical,1.09,17.14,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15
SITE-2013-002,CAMI-9192,PE (Exploitation),Tin,Independent Miners,Artisanal,2013,30.58,28.18,3.06,7045.12,31.0,High,1.19,16.39,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15
SITE-2013-003,CAMI-3054,PR (Exploration),Tantalum,Artisanal Cooperatives,Artisanal,2013,27.47,19.88,2.75,4970.38,21.87,High,4.78,11.21,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.9,2026-05-15
CONC-2013-004,CAMI-5830,PR (Exploration),Gold,Kibali Goldmines,Industrial,2013,19.44,16.78,1.94,4194.57,18.46,High,1.07,9.08,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.9,2026-05-15
SITE-2014-000,CAMI-6713,ZEA (Artisanal Zone),Tantalum,Kibali Goldmines,Artisanal,2014,29.13,24.37,2.91,6093.71,26.81,High,3.89,10.34,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.93,2026-05-15
SITE-2014-001,CAMI-2259,PE (Exploitation),Tin,Banro Corporation,Artisanal,2014,34.62,29.03,3.46,7256.64,31.93,Medium,4.33,12.22,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.88,2026-05-15
SITE-2014-002,CAMI-1511,ZEA (Artisanal Zone),Tin,Independent Miners,Artisanal,2014,32.57,30.28,3.26,7570.36,33.31,High,3.81,13.98,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15
SITE-2014-003,CAMI-7318,ZEA (Artisanal Zone),Copper,Kibali Goldmines,Artisanal,2014,27.14,22.06,2.71,5514.56,24.26,High,2.23,13.41,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.92,2026-05-15
CONC-2014-004,CAMI-6406,PE (Exploitation),Tin,Kibali Goldmines,Industrial,2014,18.31,16.99,1.83,4246.45,18.68,Medium,3.14,0.48,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.95,2026-05-15
CONC-2014-005,CAMI-6239,PE (Exploitation),Tantalum,Kibali Goldmines,Industrial,2014,21.14,16.33,2.11,4082.52,17.96,High,2.66,0.1,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15
CONC-2014-006,CAMI-7339,PE (Exploitation),Tungsten,Artisanal Cooperatives,Industrial,2014,13.22,9.56,1.32,2389.66,10.51,Critical,3.76,10.31,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.91,2026-05-15
CONC-2014-007,CAMI-7328,ZEA (Artisanal Zone),Tungsten,Banro Corporation,Industrial,2014,13.96,9.78,1.4,2443.97,10.75,Critical,4.55,10.74,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15
CONC-2015-000,CAMI-2104,PR (Exploration),Tantalum,Artisanal Cooperatives,Industrial,2015,16.87,15.56,1.69,3889.8,17.12,High,0.89,19.79,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.89,2026-05-15
