year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,hotspot_id,year_detected,logging_area_ha,logging_density,distance_to_road,forest_type,suspected_illegal_activity,hotspot_risk_level
2002,1.5766286094233701,28.836686908394707,Ituri,Mambasa,Okapi Wildlife Reserve,30.19,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-05-15,L-2002-002,2002,30.19,Medium,0.97,Primary Tropical Forest,True,4
2002,2.111862379105654,28.119926736563446,Ituri,Wamba,Okapi Wildlife Reserve,52.1,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-05-15,L-2002-003,2002,52.1,Medium,4.97,Primary Tropical Forest,True,4
2002,1.7923838940062586,29.786402568062144,Ituri,Mambasa,Okapi Wildlife Reserve,34.82,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,L-2002-004,2002,34.82,Low,5.81,Primary Tropical Forest,True,5
2002,1.1980916068611207,29.5288172497578,Ituri,Epulu,Okapi Wildlife Reserve,40.67,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,L-2002-005,2002,40.67,Medium,9.87,Primary Tropical Forest,True,3
2002,1.814661818168358,28.803893085200357,Ituri,Epulu,Okapi Wildlife Reserve,37.92,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-05-15,L-2002-006,2002,37.92,High,1.68,Primary Tropical Forest,True,3
2003,1.6220747527240755,29.45367164297135,Ituri,Wamba,Okapi Wildlife Reserve,52.55,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,L-2003-000,2003,52.55,Low,6.98,Primary Tropical Forest,True,4
2003,1.2830504646867233,27.850289422092935,Ituri,Epulu,Okapi Wildlife Reserve,34.0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,L-2003-001,2003,34.0,Medium,5.97,Primary Tropical Forest,True,4
2003,1.4459316432841405,28.734517411760216,Ituri,Epulu,Okapi Wildlife Reserve,50.77,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,L-2003-002,2003,50.77,High,0.93,Primary Tropical Forest,True,4
2003,1.7958048823804218,27.761723934559562,Ituri,Epulu,Okapi Wildlife Reserve,29.53,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,L-2003-003,2003,29.53,Medium,3.82,Primary Tropical Forest,True,5
2003,1.5358432284157981,28.311012455775277,Ituri,Wamba,Okapi Wildlife Reserve,48.08,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-05-15,L-2003-004,2003,48.08,Medium,4.69,Primary Tropical Forest,True,4
2003,1.2832396665379282,29.747943740845205,Ituri,Epulu,Okapi Wildlife Reserve,48.77,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,L-2003-005,2003,48.77,High,4.7,Primary Tropical Forest,True,4
2003,1.365151226606251,29.454900197241827,Ituri,Mambasa,Okapi Wildlife Reserve,36.28,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,L-2003-006,2003,36.28,Low,6.95,Primary Tropical Forest,True,4
2004,1.9162937905457473,27.7536862143028,Ituri,Wamba,Okapi Wildlife Reserve,33.36,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,L-2004-000,2004,33.36,Low,5.69,Primary Tropical Forest,True,2
2004,2.2250913229076694,29.81818641622443,Ituri,Wamba,Okapi Wildlife Reserve,47.83,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,L-2004-001,2004,47.83,High,2.21,Primary Tropical Forest,True,2
2004,2.176043354640222,29.705000704588155,Ituri,Wamba,Okapi Wildlife Reserve,37.13,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,L-2004-002,2004,37.13,Low,8.27,Primary Tropical Forest,True,4
2004,1.5184058346401297,29.027459910424934,Ituri,Wamba,Okapi Wildlife Reserve,47.72,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,L-2004-003,2004,47.72,High,7.7,Primary Tropical Forest,True,4
2004,2.236159880108406,29.874215972375175,Ituri,Epulu,Okapi Wildlife Reserve,42.46,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-05-15,L-2004-004,2004,42.46,Low,8.4,Primary Tropical Forest,True,4
2004,2.3848856078913854,28.602551042316858,Ituri,Wamba,Okapi Wildlife Reserve,47.23,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-05-15,L-2004-005,2004,47.23,Medium,8.56,Primary Tropical Forest,True,1
2004,1.552806746249077,28.22546906242125,Ituri,Mambasa,Okapi Wildlife Reserve,34.39,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,L-2004-006,2004,34.39,Medium,5.78,Primary Tropical Forest,True,1
2004,1.6128285706247445,29.29486719667859,Ituri,Wamba,Okapi Wildlife Reserve,41.48,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,L-2004-007,2004,41.48,High,5.09,Primary Tropical Forest,True,5
2004,1.4534473047873036,28.160286917049874,Ituri,Mambasa,Okapi Wildlife Reserve,31.16,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,L-2004-008,2004,31.16,Medium,6.55,Primary Tropical Forest,True,4
2004,1.7146029523989004,29.464734821333465,Ituri,Wamba,Okapi Wildlife Reserve,52.9,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-05-15,L-2004-009,2004,52.9,Medium,0.56,Primary Tropical Forest,True,1
2004,1.9639217101942377,28.67984572910348,Ituri,Mambasa,Okapi Wildlife Reserve,44.2,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-05-15,L-2004-010,2004,44.2,High,1.66,Primary Tropical Forest,True,4
2004,1.9595426146523887,29.889514152707324,Ituri,Mambasa,Okapi Wildlife Reserve,47.41,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,L-2004-011,2004,47.41,Low,1.81,Primary Tropical Forest,True,2
2005,1.2662805305538167,27.92247051578211,Ituri,Epulu,Okapi Wildlife Reserve,38.45,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,L-2005-000,2005,38.45,High,7.88,Primary Tropical Forest,True,4
2005,1.1479789991359513,29.095603855618165,Ituri,Mambasa,Okapi Wildlife Reserve,34.35,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-05-15,L-2005-001,2005,34.35,Low,6.64,Primary Tropical Forest,True,5
2005,1.9038872472966668,28.291443885867746,Ituri,Mambasa,Okapi Wildlife Reserve,45.87,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,L-2005-002,2005,45.87,Medium,3.16,Primary Tropical Forest,True,5
2005,1.713740350649817,28.722967351792935,Ituri,Wamba,Okapi Wildlife Reserve,31.51,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,L-2005-003,2005,31.51,High,9.12,Primary Tropical Forest,True,2
2005,1.1145735608209753,28.415309659130976,Ituri,Mambasa,Okapi Wildlife Reserve,32.43,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-05-15,L-2005-004,2005,32.43,Low,0.13,Primary Tropical Forest,True,5
2005,1.1948427356931564,28.977801462007545,Ituri,Mambasa,Okapi Wildlife Reserve,51.08,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,L-2005-005,2005,51.08,High,4.39,Primary Tropical Forest,True,4
2005,1.7715816567926945,28.54437464722529,Ituri,Wamba,Okapi Wildlife Reserve,33.27,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,L-2005-006,2005,33.27,High,8.42,Primary Tropical Forest,True,3
2005,2.385138103550323,28.210619897039187,Ituri,Mambasa,Okapi Wildlife Reserve,33.94,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,L-2005-007,2005,33.94,Low,8.65,Primary Tropical Forest,True,1
2006,1.9106500492263074,28.694046092451714,Ituri,Wamba,Okapi Wildlife Reserve,49.35,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-05-15,L-2006-000,2006,49.35,Medium,4.55,Primary Tropical Forest,True,2
2006,2.112150800351748,29.74630875261594,Ituri,Mambasa,Okapi Wildlife Reserve,39.51,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,L-2006-001,2006,39.51,High,3.63,Primary Tropical Forest,True,1
2006,2.374065555194931,28.464180506039007,Ituri,Mambasa,Okapi Wildlife Reserve,53.5,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,L-2006-002,2006,53.5,Medium,2.35,Primary Tropical Forest,True,1
2006,1.7497148362962647,28.321448311979587,Ituri,Wamba,Okapi Wildlife Reserve,59.28,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,L-2006-003,2006,59.28,High,7.08,Primary Tropical Forest,True,5
2006,1.7296387886886895,28.908755023473596,Ituri,Wamba,Okapi Wildlife Reserve,36.58,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,L-2006-004,2006,36.58,High,1.55,Primary Tropical Forest,True,2
2006,1.2759097480602624,28.93380509070172,Ituri,Wamba,Okapi Wildlife Reserve,59.54,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-05-15,L-2006-005,2006,59.54,Medium,9.98,Primary Tropical Forest,True,2
2006,1.692781875077391,29.67833929196695,Ituri,Wamba,Okapi Wildlife Reserve,36.48,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,L-2006-006,2006,36.48,Low,7.8,Primary Tropical Forest,True,1
2006,1.8713645913557757,29.376062340427513,Ituri,Wamba,Okapi Wildlife Reserve,56.85,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,L-2006-007,2006,56.85,Medium,5.0,Primary Tropical Forest,True,1
2007,2.3661005366638723,29.553585931265076,Ituri,Mambasa,Okapi Wildlife Reserve,44.13,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-05-15,L-2007-000,2007,44.13,Low,7.53,Primary Tropical Forest,True,2
2007,1.7698809044464907,29.159495946431676,Ituri,Wamba,Okapi Wildlife Reserve,57.07,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,L-2007-001,2007,57.07,Low,7.2,Primary Tropical Forest,True,2
2007,1.8395789694093407,29.718292981557806,Ituri,Epulu,Okapi Wildlife Reserve,58.55,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,L-2007-002,2007,58.55,Low,3.26,Primary Tropical Forest,True,3
2007,1.4684573374799959,29.351529724942957,Ituri,Mambasa,Okapi Wildlife Reserve,44.48,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-05-15,L-2007-003,2007,44.48,Medium,6.11,Primary Tropical Forest,True,2
2007,1.5065336602055122,28.75917262386756,Ituri,Epulu,Okapi Wildlife Reserve,60.16,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-05-15,L-2007-004,2007,60.16,Low,0.28,Primary Tropical Forest,True,3
2007,1.7709666911147242,29.425121428361425,Ituri,Mambasa,Okapi Wildlife Reserve,61.03,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,L-2007-005,2007,61.03,High,7.39,Primary Tropical Forest,True,2
2007,1.4949144546594066,28.780371391248273,Ituri,Mambasa,Okapi Wildlife Reserve,63.85,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-05-15,L-2007-006,2007,63.85,High,1.36,Primary Tropical Forest,True,4
2007,1.5506351361659854,28.006695697744114,Ituri,Mambasa,Okapi Wildlife Reserve,57.23,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-05-15,L-2007-007,2007,57.23,Low,4.02,Primary Tropical Forest,True,2
2007,2.0421432921839067,29.81165248213855,Ituri,Wamba,Okapi Wildlife Reserve,34.58,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,L-2007-008,2007,34.58,Medium,7.55,Primary Tropical Forest,True,2
2007,1.9457669950652634,28.749075581672464,Ituri,Wamba,Okapi Wildlife Reserve,52.08,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-05-15,L-2007-009,2007,52.08,Medium,9.5,Primary Tropical Forest,True,2
2007,1.311873596484873,29.099557812171412,Ituri,Mambasa,Okapi Wildlife Reserve,44.5,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-05-15,L-2007-010,2007,44.5,High,0.8,Primary Tropical Forest,True,3
2008,1.1823818112365467,28.087792542252597,Ituri,Wamba,Okapi Wildlife Reserve,41.43,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,L-2008-000,2008,41.43,Medium,4.12,Primary Tropical Forest,True,2
2008,2.3464803246269614,28.206331438878298,Ituri,Epulu,Okapi Wildlife Reserve,61.03,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,L-2008-001,2008,61.03,Low,0.22,Primary Tropical Forest,True,5
2008,1.507846808034508,29.731042399874717,Ituri,Epulu,Okapi Wildlife Reserve,41.7,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,L-2008-002,2008,41.7,Medium,9.31,Primary Tropical Forest,True,2
2008,2.205311157991769,29.14924431547762,Ituri,Epulu,Okapi Wildlife Reserve,42.93,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,L-2008-003,2008,42.93,Medium,0.81,Primary Tropical Forest,True,5
2008,2.069046541185144,29.63117210246444,Ituri,Wamba,Okapi Wildlife Reserve,44.19,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,L-2008-004,2008,44.19,Low,6.97,Primary Tropical Forest,True,5
2008,2.0233658504562504,28.149405914641818,Ituri,Mambasa,Okapi Wildlife Reserve,59.0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-05-15,L-2008-005,2008,59.0,Low,0.13,Primary Tropical Forest,True,3
2009,1.8319576778451463,28.044861893927802,Ituri,Mambasa,Okapi Wildlife Reserve,38.96,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-05-15,L-2009-000,2009,38.96,High,8.03,Primary Tropical Forest,True,1
2009,1.712441612327145,28.616219654471678,Ituri,Wamba,Okapi Wildlife Reserve,54.23,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,L-2009-001,2009,54.23,High,4.72,Primary Tropical Forest,True,1
2009,1.326815107679884,29.544226247075024,Ituri,Mambasa,Okapi Wildlife Reserve,48.46,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,L-2009-002,2009,48.46,Low,1.28,Primary Tropical Forest,True,1
2009,2.0205143903135268,27.784428049824182,Ituri,Epulu,Okapi Wildlife Reserve,57.47,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,L-2009-003,2009,57.47,Low,3.77,Primary Tropical Forest,True,1
2009,2.3587165954840295,29.72748319948134,Ituri,Wamba,Okapi Wildlife Reserve,61.32,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,L-2009-004,2009,61.32,Medium,2.33,Primary Tropical Forest,True,2
2010,2.331592294263232,29.008712336355472,Ituri,Wamba,Okapi Wildlife Reserve,53.19,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,L-2010-000,2010,53.19,High,4.46,Primary Tropical Forest,True,3
2010,1.9527512603206592,27.940300069848124,Ituri,Epulu,Okapi Wildlife Reserve,63.93,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-05-15,L-2010-001,2010,63.93,Medium,5.19,Primary Tropical Forest,True,3
2010,1.1185025063502154,28.178229891147787,Ituri,Wamba,Okapi Wildlife Reserve,63.78,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-05-15,L-2010-002,2010,63.78,Medium,4.38,Primary Tropical Forest,True,3
2010,2.1186340403714397,28.470079629116558,Ituri,Epulu,Okapi Wildlife Reserve,61.39,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,L-2010-003,2010,61.39,Low,2.98,Primary Tropical Forest,True,1
2010,2.0495350514224624,29.22159819840968,Ituri,Mambasa,Okapi Wildlife Reserve,48.13,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,L-2010-004,2010,48.13,Low,9.43,Primary Tropical Forest,True,5
2010,2.295464232449337,28.91877715041029,Ituri,Wamba,Okapi Wildlife Reserve,43.96,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-05-15,L-2010-005,2010,43.96,Medium,4.25,Primary Tropical Forest,True,3
2010,2.2380607686622405,28.707123966801127,Ituri,Mambasa,Okapi Wildlife Reserve,60.62,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,L-2010-006,2010,60.62,High,3.67,Primary Tropical Forest,True,4
2010,1.2682431954506979,28.997090205613638,Ituri,Wamba,Okapi Wildlife Reserve,53.6,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,L-2010-007,2010,53.6,Low,8.73,Primary Tropical Forest,True,4
2010,1.3987844740282571,29.724833728910568,Ituri,Epulu,Okapi Wildlife Reserve,46.81,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,L-2010-008,2010,46.81,Low,8.39,Primary Tropical Forest,True,5
2010,1.8429733264069612,28.910216426298746,Ituri,Mambasa,Okapi Wildlife Reserve,42.27,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,L-2010-009,2010,42.27,Low,4.1,Primary Tropical Forest,True,2
2010,1.8369958201954848,29.37365732620986,Ituri,Wamba,Okapi Wildlife Reserve,55.84,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-05-15,L-2010-010,2010,55.84,Medium,3.84,Primary Tropical Forest,True,2
2011,2.2417992665009403,29.064249350030174,Ituri,Epulu,Okapi Wildlife Reserve,42.55,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,L-2011-000,2011,42.55,Medium,3.85,Primary Tropical Forest,True,1
2011,1.1444138599065876,28.133078551443973,Ituri,Epulu,Okapi Wildlife Reserve,58.06,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,L-2011-001,2011,58.06,Low,3.61,Primary Tropical Forest,True,5
2011,1.6546972570049174,28.286627134382677,Ituri,Mambasa,Okapi Wildlife Reserve,70.41,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-05-15,L-2011-002,2011,70.41,Low,9.01,Primary Tropical Forest,True,5
