year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,fire_id,year_active,burned_area_ha,fire_severity,vegetation_type,carbon_emission_estimate,recurrence_frequency,distance_to_settlement
2009,1.5709758269203367,28.59723054234522,Ituri,Wamba,Okapi Wildlife Reserve,187.22,1.8722,-9.44,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,F-2009-3,2009,187.22,High,Savannah,2901.9,2,7.66
2009,1.549086891198381,28.62234394502066,Ituri,Mambasa,Okapi Wildlife Reserve,100.13,1.0013,5.83,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,F-2009-4,2009,100.13,Moderate,Primary Forest,1551.94,1,11.03
2010,1.5682466916141407,28.588850001858596,Ituri,Epulu,Okapi Wildlife Reserve,157.23,1.5723,-2.2,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,F-2010-0,2010,157.23,High,Primary Forest,2437.0,2,3.86
2010,1.6272972598931903,28.558796531949373,Ituri,Mambasa,Okapi Wildlife Reserve,178.18,1.7818,-2.11,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,F-2010-1,2010,178.18,Low,Degraded Forest,2761.74,5,6.8
2010,1.6303804898215377,28.56090931668487,Ituri,Epulu,Okapi Wildlife Reserve,211.39,2.1139,2.48,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,F-2010-2,2010,211.39,High,Degraded Forest,3276.53,1,1.13
2010,1.5972507329781407,28.5108893890992,Ituri,Mambasa,Okapi Wildlife Reserve,86.95,0.8695,9.82,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,F-2010-3,2010,86.95,Moderate,Primary Forest,1347.67,2,8.5
2010,1.611776000668104,28.551312158733843,Ituri,Mambasa,Okapi Wildlife Reserve,54.34,0.5434,-9.0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,F-2010-4,2010,54.34,Moderate,Savannah,842.21,3,12.7
2011,1.6808710253017807,28.655654556836627,Ituri,Epulu,Okapi Wildlife Reserve,161.18,1.6118,-3.9,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,F-2011-0,2011,161.18,High,Primary Forest,2498.3,2,10.03
2011,1.556096498120271,28.6691135716771,Ituri,Mambasa,Okapi Wildlife Reserve,176.99,1.7699,-9.64,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,F-2011-1,2011,176.99,Moderate,Primary Forest,2743.32,3,13.54
2011,1.6771624954734408,28.66222235134368,Ituri,Wamba,Okapi Wildlife Reserve,67.37,0.6737,0.29,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,F-2011-2,2011,67.37,Low,Primary Forest,1044.19,2,1.25
2011,1.671808852489152,28.57241329198197,Ituri,Wamba,Okapi Wildlife Reserve,212.28,2.1228,3.35,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,F-2011-3,2011,212.28,High,Primary Forest,3290.32,5,11.16
2011,1.6644669672670855,28.518448082568018,Ituri,Wamba,Okapi Wildlife Reserve,60.83,0.6083,-9.71,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,F-2011-4,2011,60.83,Low,Degraded Forest,942.85,1,9.95
2011,1.6974670933633487,28.49232918482108,Ituri,Mambasa,Okapi Wildlife Reserve,220.85,2.2085,-6.1,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,F-2011-5,2011,220.85,Low,Savannah,3423.21,4,1.83
2011,1.6703393295276099,28.513601893272657,Ituri,Wamba,Okapi Wildlife Reserve,58.48,0.5848,1.66,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,F-2011-6,2011,58.48,Moderate,Savannah,906.51,5,2.67
2012,1.6908831321139839,28.6402936754807,Ituri,Wamba,Okapi Wildlife Reserve,238.71,2.3871,-3.95,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,F-2012-0,2012,238.71,Low,Savannah,3700.06,2,11.89
2012,1.547861276127379,28.559001607566532,Ituri,Mambasa,Okapi Wildlife Reserve,81.79,0.8179,-5.15,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-06-09,F-2012-1,2012,81.79,High,Degraded Forest,1267.75,2,1.41
2012,1.5356757294668688,28.647735065107664,Ituri,Epulu,Okapi Wildlife Reserve,83.17,0.8317,-0.05,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,F-2012-2,2012,83.17,High,Degraded Forest,1289.11,1,9.41
2012,1.5926946518404739,28.65283323474271,Ituri,Mambasa,Okapi Wildlife Reserve,177.67,1.7767,-4.52,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,F-2012-3,2012,177.67,Moderate,Savannah,2753.88,5,8.97
2012,1.6332627614723938,28.662636328669894,Ituri,Mambasa,Okapi Wildlife Reserve,102.63,1.0263,-5.93,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,F-2012-4,2012,102.63,Moderate,Savannah,1590.74,4,1.11
2012,1.7007874891922632,28.63819446591436,Ituri,Epulu,Okapi Wildlife Reserve,210.38,2.1038,5.9,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,F-2012-5,2012,210.38,Low,Primary Forest,3260.87,1,3.44
2012,1.6058142352910367,28.596214726747238,Ituri,Epulu,Okapi Wildlife Reserve,136.31,1.3631,-9.5,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,F-2012-6,2012,136.31,High,Savannah,2112.76,2,12.81
2012,1.5342654860542917,28.580805479894476,Ituri,Epulu,Okapi Wildlife Reserve,120.88,1.2088,-4.51,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,F-2012-7,2012,120.88,Moderate,Degraded Forest,1873.63,3,8.2
2013,1.5700011159661622,28.61302099331119,Ituri,Wamba,Okapi Wildlife Reserve,147.39,1.4739,2.1,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,F-2013-0,2013,147.39,Low,Primary Forest,2284.57,1,14.81
2013,1.7017486858022473,28.593544391340828,Ituri,Mambasa,Okapi Wildlife Reserve,173.35,1.7335,8.68,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,F-2013-1,2013,173.35,Low,Degraded Forest,2686.99,2,13.31
2013,1.6372064426083883,28.62928258645589,Ituri,Mambasa,Okapi Wildlife Reserve,96.41,0.9641,3.18,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,F-2013-2,2013,96.41,Moderate,Savannah,1494.4,1,9.18
2013,1.620978266214661,28.654195971231875,Ituri,Wamba,Okapi Wildlife Reserve,245.31,2.4531,3.75,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,F-2013-3,2013,245.31,Moderate,Savannah,3802.27,1,13.57
2013,1.621860650516743,28.575770651681996,Ituri,Mambasa,Okapi Wildlife Reserve,93.49,0.9349,-7.9,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,F-2013-4,2013,93.49,High,Primary Forest,1449.09,5,12.3
2013,1.5695159959884786,28.568934427928244,Ituri,Mambasa,Okapi Wildlife Reserve,103.29,1.0329,3.02,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,F-2013-5,2013,103.29,High,Degraded Forest,1601.02,1,7.26
2013,1.5337364924003074,28.670183783912886,Ituri,Wamba,Okapi Wildlife Reserve,144.77,1.4477,-0.88,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,F-2013-6,2013,144.77,Low,Savannah,2243.95,2,13.32
2013,1.6513721857925363,28.617161969217126,Ituri,Mambasa,Okapi Wildlife Reserve,106.85,1.0685,-3.28,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,F-2013-7,2013,106.85,Moderate,Primary Forest,1656.25,2,5.76
2014,1.6002692463966157,28.569876045278008,Ituri,Wamba,Okapi Wildlife Reserve,108.47,1.0847,1.62,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-06-09,F-2014-0,2014,108.47,Moderate,Primary Forest,1681.3,5,3.19
2014,1.732239554928289,28.546253455814245,Ituri,Wamba,Okapi Wildlife Reserve,215.94,2.1594,-0.02,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,F-2014-1,2014,215.94,Moderate,Primary Forest,3347.03,2,6.62
2015,1.713466392108891,28.50924838133322,Ituri,Wamba,Okapi Wildlife Reserve,94.61,0.9461,-8.29,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,F-2015-0,2015,94.61,Moderate,Primary Forest,1466.49,1,1.22
2015,1.7176048994357782,28.5603731078893,Ituri,Wamba,Okapi Wildlife Reserve,190.11,1.9011,-3.54,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,F-2015-1,2015,190.11,Low,Savannah,2946.64,2,7.11
2016,1.6614198225595698,28.570009164909525,Ituri,Epulu,Okapi Wildlife Reserve,66.44,0.6644,2.25,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,F-2016-0,2016,66.44,Moderate,Savannah,1029.76,5,2.39
2016,1.629837237355842,28.565275114882265,Ituri,Epulu,Okapi Wildlife Reserve,213.29,2.1329,4.65,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,F-2016-1,2016,213.29,Moderate,Primary Forest,3305.99,3,4.36
2016,1.7215015585909956,28.609899728716265,Ituri,Epulu,Okapi Wildlife Reserve,185.97,1.8597,3.62,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,F-2016-2,2016,185.97,High,Savannah,2882.51,3,3.54
2016,1.6034650726047843,28.625699362438763,Ituri,Epulu,Okapi Wildlife Reserve,57.64,0.5764,3.28,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,F-2016-3,2016,57.64,Low,Degraded Forest,893.38,4,5.41
2017,1.5619674739362421,28.532937979077257,Ituri,Wamba,Okapi Wildlife Reserve,234.26,2.3426,-1.76,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,F-2017-0,2017,234.26,Low,Primary Forest,3631.11,1,6.56
2017,1.5887568178155091,28.67901143740949,Ituri,Mambasa,Okapi Wildlife Reserve,190.85,1.9085,-3.66,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,F-2017-1,2017,190.85,Moderate,Primary Forest,2958.16,1,10.15
