year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,annual_forest_loss_ha,cumulative_loss_ha,remaining_forest_ha,percent_loss,forest_fragmentation_index,primary_forest_loss_ha,degradation_intensity
2012,1.6837610024907914,28.489183495393416,Ituri,Epulu,Okapi Wildlife Reserve,3976.75,39.77,0.2897,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,3976.75,36000,1336625,2.62,0.32,3181.4,Medium
2013,1.6888315098351274,28.50430136585446,Ituri,Epulu,Okapi Wildlife Reserve,4326.88,43.27,0.3152,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,4326.88,39000,1333625,2.84,0.2,3461.5,Low
2014,1.6773793962787669,28.548728209948365,Ituri,Mambasa,Okapi Wildlife Reserve,4218.31,42.18,0.3073,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,4218.31,42000,1330625,3.06,0.17,3374.65,Low
2015,1.69029217858329,28.593193629951756,Ituri,Wamba,Okapi Wildlife Reserve,4712.65,47.13,0.3433,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,4712.65,45000,1327625,3.28,0.31,3770.12,High
2016,1.6889673461158394,28.507934037866665,Ituri,Wamba,Okapi Wildlife Reserve,4741.29,47.41,0.3454,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-06-09,4741.29,48000,1324625,3.5,0.15,3793.03,Medium
2017,1.609539259803762,28.512581067755015,Ituri,Wamba,Okapi Wildlife Reserve,4743.76,47.44,0.3456,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,4743.76,51000,1321625,3.72,0.3,3795.01,Medium
2018,1.668601167886195,28.650044337497633,Ituri,Mambasa,Okapi Wildlife Reserve,4767.54,47.68,0.3473,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,4767.54,54000,1318625,3.93,0.26,3814.03,Medium
2019,1.5758926019483495,28.543240011813815,Ituri,Epulu,Okapi Wildlife Reserve,5267.31,52.67,0.3837,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,5267.31,57000,1315625,4.15,0.35,4213.85,High
2020,1.6383388134567882,28.49263681709742,Ituri,Mambasa,Okapi Wildlife Reserve,5258.81,52.59,0.3831,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,5258.81,60000,1312625,4.37,0.38,4207.05,Medium
2021,1.658443276600896,28.57177006393882,Ituri,Epulu,Okapi Wildlife Reserve,5610.27,56.1,0.4087,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,5610.27,63000,1309625,4.59,0.36,4488.21,High
2022,1.5619264279294225,28.54723347561327,Ituri,Mambasa,Okapi Wildlife Reserve,5515.2,55.15,0.4018,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,5515.2,66000,1306625,4.81,0.21,4412.16,Medium
2023,1.6644943473008227,28.49795303254643,Ituri,Epulu,Okapi Wildlife Reserve,5651.18,56.51,0.4117,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,5651.18,69000,1303625,5.03,0.15,4520.95,High
2024,1.6995420692649805,28.657747732403585,Ituri,Wamba,Okapi Wildlife Reserve,5758.79,57.59,0.4195,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,5758.79,72000,1300625,5.25,0.38,4607.03,Low
2025,1.5433587217899039,28.535060770797912,Ituri,Epulu,Okapi Wildlife Reserve,6096.25,60.96,0.4441,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,6096.25,75000,1297625,5.46,0.3,4877.0,Low
2026,1.5695570249595925,28.56580991675912,Ituri,Epulu,Okapi Wildlife Reserve,6027.52,60.28,0.4391,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,6027.52,78000,1294625,5.68,0.29,4822.01,High
2027,1.6562094686736262,28.614315784334273,Ituri,Wamba,Okapi Wildlife Reserve,6054.08,60.54,0.4411,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,6054.08,81000,1291625,5.9,0.31,4843.27,High
2028,1.5781940059871395,28.653724363972696,Ituri,Epulu,Okapi Wildlife Reserve,6544.96,65.45,0.4768,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,6544.96,84000,1288625,6.12,0.11,5235.97,Low
2029,1.6500111206024617,28.525628244277026,Ituri,Wamba,Okapi Wildlife Reserve,6790.77,67.91,0.4947,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,6790.77,87000,1285625,6.34,0.26,5432.61,Low
2030,1.633460684414414,28.499232777175973,Ituri,Mambasa,Okapi Wildlife Reserve,6928.58,69.29,0.5048,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,6928.58,90000,1282625,6.56,0.1,5542.86,High
