year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,habitat_zone,species_name,habitat_loss_ha,fragmentation_level,conservation_priority,threat_level,proximity_to_mining,proximity_to_logging
2002,1.7301003268495874,28.614614583338614,Ituri,Mambasa,Okapi Wildlife Reserve,139.63,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,Core Reserve,Chimpanzee,139.63,Low,Very High,Critically Endangered,7.89,6.18
2002,1.720486834720346,28.51192738208986,Ituri,Epulu,Okapi Wildlife Reserve,122.73,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,Core Reserve,Grauer's Gorilla,122.73,Low,Very High,Critically Endangered,5.05,1.52
2003,1.7195718162232232,28.597420728597008,Ituri,Epulu,Okapi Wildlife Reserve,136.69,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-06-09,Core Reserve,Okapi,136.69,Low,Very High,Endangered,6.39,1.93
2003,1.6490082053943398,28.632191990415826,Ituri,Epulu,Okapi Wildlife Reserve,142.65,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,Core Reserve,Forest Elephant,142.65,High,Very High,Endangered,6.06,5.17
2003,1.6855798525232994,28.591676069208642,Ituri,Wamba,Okapi Wildlife Reserve,172.77,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,Core Reserve,Chimpanzee,172.77,Medium,Very High,Critically Endangered,8.01,5.87
2003,1.5838233243727036,28.53159018040157,Ituri,Wamba,Okapi Wildlife Reserve,136.09,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,Core Reserve,Grauer's Gorilla,136.09,High,Very High,Endangered,1.7,3.22
2004,1.5640196370037756,28.576497551013027,Ituri,Wamba,Okapi Wildlife Reserve,168.66,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,Core Reserve,Okapi,168.66,High,Very High,Endangered,3.58,1.14
2004,1.576134193496619,28.485991471132966,Ituri,Mambasa,Okapi Wildlife Reserve,187.6,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,Core Reserve,Forest Elephant,187.6,Medium,Very High,Endangered,4.74,5.69
2004,1.5890255169105845,28.542037667652632,Ituri,Wamba,Okapi Wildlife Reserve,170.71,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,Core Reserve,Chimpanzee,170.71,High,Very High,Endangered,8.44,3.86
2004,1.594084933599841,28.511994434634605,Ituri,Epulu,Okapi Wildlife Reserve,156.69,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-06-09,Core Reserve,Grauer's Gorilla,156.69,Medium,Very High,Vulnerable,5.67,7.17
2005,1.5514180509513738,28.617780811879907,Ituri,Wamba,Okapi Wildlife Reserve,194.97,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,Core Reserve,Okapi,194.97,Low,Very High,Endangered,6.53,6.31
2005,1.70455124286046,28.487699961342727,Ituri,Mambasa,Okapi Wildlife Reserve,175.61,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,Core Reserve,Forest Elephant,175.61,Medium,Very High,Critically Endangered,4.4,3.43
2005,1.61498111968882,28.572374920794125,Ituri,Epulu,Okapi Wildlife Reserve,199.89,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,Core Reserve,Chimpanzee,199.89,Low,Very High,Critically Endangered,5.02,4.45
2005,1.5511427486144245,28.550969852990328,Ituri,Wamba,Okapi Wildlife Reserve,180.74,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,Core Reserve,Grauer's Gorilla,180.74,Medium,Very High,Endangered,2.21,2.88
2006,1.7200474942454411,28.59730629326428,Ituri,Mambasa,Okapi Wildlife Reserve,182.2,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,Core Reserve,Okapi,182.2,High,Very High,Vulnerable,2.77,2.03
2006,1.5970746426245648,28.618148067717254,Ituri,Mambasa,Okapi Wildlife Reserve,176.63,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-06-09,Core Reserve,Forest Elephant,176.63,Low,Very High,Critically Endangered,1.79,3.5
2006,1.6590415417090436,28.53538307168398,Ituri,Wamba,Okapi Wildlife Reserve,178.14,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,Core Reserve,Chimpanzee,178.14,High,Very High,Endangered,7.2,5.79
2006,1.6844941524631378,28.65303828932844,Ituri,Mambasa,Okapi Wildlife Reserve,174.46,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,Core Reserve,Grauer's Gorilla,174.46,High,Very High,Endangered,6.62,8.84
2007,1.633880104649193,28.609486966591657,Ituri,Wamba,Okapi Wildlife Reserve,185.25,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,Core Reserve,Okapi,185.25,High,Very High,Endangered,4.89,8.84
2007,1.6730344534258168,28.63259173631375,Ituri,Wamba,Okapi Wildlife Reserve,211.99,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,Core Reserve,Forest Elephant,211.99,High,Very High,Critically Endangered,6.92,2.84
2007,1.7325905281569252,28.531824959260632,Ituri,Epulu,Okapi Wildlife Reserve,210.45,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,Core Reserve,Chimpanzee,210.45,Low,Very High,Vulnerable,3.82,8.66
2007,1.6313000990859203,28.645495268134194,Ituri,Epulu,Okapi Wildlife Reserve,176.2,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,Core Reserve,Grauer's Gorilla,176.2,High,Very High,Vulnerable,9.63,5.2
2008,1.6651921450279483,28.538155620517976,Ituri,Epulu,Okapi Wildlife Reserve,186.39,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,Core Reserve,Okapi,186.39,Medium,Very High,Vulnerable,5.22,9.06
2008,1.558318185361268,28.58729534500211,Ituri,Wamba,Okapi Wildlife Reserve,217.94,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,Core Reserve,Forest Elephant,217.94,Low,Very High,Endangered,8.63,2.44
2008,1.7264859363149767,28.666228605908845,Ituri,Wamba,Okapi Wildlife Reserve,181.46,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,Core Reserve,Chimpanzee,181.46,High,Very High,Endangered,9.96,4.58
2008,1.6391960582377127,28.518602604744718,Ituri,Epulu,Okapi Wildlife Reserve,217.8,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,Core Reserve,Grauer's Gorilla,217.8,Low,Very High,Critically Endangered,8.36,9.81
2009,1.5820712919315014,28.512523640192335,Ituri,Mambasa,Okapi Wildlife Reserve,198.33,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,Core Reserve,Okapi,198.33,Medium,Very High,Endangered,6.07,1.18
2009,1.6635304907313637,28.647396869195465,Ituri,Mambasa,Okapi Wildlife Reserve,201.31,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,Core Reserve,Forest Elephant,201.31,High,Very High,Vulnerable,3.7,5.24
2009,1.590149166613232,28.516851103924292,Ituri,Mambasa,Okapi Wildlife Reserve,208.23,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,Core Reserve,Chimpanzee,208.23,Low,Very High,Endangered,3.74,7.14
2009,1.6245235189644414,28.682823038405836,Ituri,Epulu,Okapi Wildlife Reserve,219.63,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,Core Reserve,Grauer's Gorilla,219.63,Medium,Very High,Critically Endangered,6.81,3.67
2010,1.6807448505965819,28.49647701290217,Ituri,Wamba,Okapi Wildlife Reserve,207.76,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,Core Reserve,Okapi,207.76,Low,Very High,Vulnerable,3.55,9.15
2010,1.7264738951263856,28.50196032850732,Ituri,Wamba,Okapi Wildlife Reserve,239.53,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,Core Reserve,Forest Elephant,239.53,Medium,Very High,Endangered,7.3,1.58
2010,1.6394804827368634,28.594230878003234,Ituri,Mambasa,Okapi Wildlife Reserve,213.64,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,Core Reserve,Chimpanzee,213.64,Medium,Very High,Critically Endangered,4.01,2.14
2010,1.6210990247590784,28.583496471302993,Ituri,Mambasa,Okapi Wildlife Reserve,200.65,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-06-09,Core Reserve,Grauer's Gorilla,200.65,High,Very High,Critically Endangered,6.2,5.28
2011,1.6522573532919071,28.49585397437965,Ituri,Mambasa,Okapi Wildlife Reserve,256.51,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,Core Reserve,Okapi,256.51,High,Very High,Vulnerable,5.31,3.77
2011,1.6337708483763955,28.605311104307727,Ituri,Wamba,Okapi Wildlife Reserve,236.56,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,Core Reserve,Forest Elephant,236.56,High,Very High,Endangered,3.74,1.84
2011,1.6837182780583182,28.53824968619248,Ituri,Mambasa,Okapi Wildlife Reserve,221.49,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,Core Reserve,Chimpanzee,221.49,Medium,Very High,Critically Endangered,1.16,2.48
2011,1.6622372845805626,28.63929561915394,Ituri,Mambasa,Okapi Wildlife Reserve,247.5,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,Core Reserve,Grauer's Gorilla,247.5,Medium,Very High,Vulnerable,7.33,2.35
2012,1.5986441177561577,28.54060392062273,Ituri,Wamba,Okapi Wildlife Reserve,263.98,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,Core Reserve,Okapi,263.98,Medium,Very High,Vulnerable,3.7,6.54
2012,1.61605576389052,28.493945669493655,Ituri,Mambasa,Okapi Wildlife Reserve,230.11,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,Core Reserve,Forest Elephant,230.11,Low,Very High,Vulnerable,8.52,9.57
2012,1.7175898509515666,28.563107047687094,Ituri,Mambasa,Okapi Wildlife Reserve,241.23,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,Core Reserve,Chimpanzee,241.23,Medium,Very High,Vulnerable,5.36,4.69
2012,1.6497818134144362,28.594075614472803,Ituri,Epulu,Okapi Wildlife Reserve,241.85,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,Core Reserve,Grauer's Gorilla,241.85,Low,Very High,Vulnerable,8.65,6.77
2013,1.629576419279556,28.671529076122756,Ituri,Wamba,Okapi Wildlife Reserve,254.51,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,Core Reserve,Okapi,254.51,High,Very High,Vulnerable,8.89,3.85
2013,1.592980659161497,28.660082001330075,Ituri,Wamba,Okapi Wildlife Reserve,275.61,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,Core Reserve,Forest Elephant,275.61,Low,Very High,Vulnerable,2.48,5.12
2013,1.5553751690371087,28.58199601428032,Ituri,Mambasa,Okapi Wildlife Reserve,272.17,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,Core Reserve,Chimpanzee,272.17,High,Very High,Vulnerable,3.54,7.17
2013,1.6629633429356607,28.609646297107194,Ituri,Epulu,Okapi Wildlife Reserve,278.02,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,Core Reserve,Grauer's Gorilla,278.02,High,Very High,Endangered,1.02,9.2
2014,1.5886511990117687,28.502938886756453,Ituri,Wamba,Okapi Wildlife Reserve,247.51,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-06-09,Core Reserve,Okapi,247.51,Low,Very High,Vulnerable,2.93,1.61
2014,1.6820985357244589,28.49021512546608,Ituri,Wamba,Okapi Wildlife Reserve,241.51,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,Core Reserve,Forest Elephant,241.51,Low,Very High,Critically Endangered,2.47,7.63
2014,1.7116129786025243,28.663752812590992,Ituri,Wamba,Okapi Wildlife Reserve,251.04,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,Core Reserve,Chimpanzee,251.04,Medium,Very High,Endangered,3.72,4.32
2014,1.6250286171631405,28.629900005408032,Ituri,Epulu,Okapi Wildlife Reserve,246.44,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,Core Reserve,Grauer's Gorilla,246.44,Low,Very High,Endangered,7.5,1.49
2015,1.6525407140898574,28.549047238305587,Ituri,Wamba,Okapi Wildlife Reserve,294.81,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,Core Reserve,Okapi,294.81,Low,Very High,Endangered,4.28,2.88
2015,1.6033089512963423,28.51105296083726,Ituri,Mambasa,Okapi Wildlife Reserve,251.67,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-06-09,Core Reserve,Forest Elephant,251.67,Medium,Very High,Vulnerable,8.55,4.34
2015,1.5753742845375485,28.54489915746159,Ituri,Mambasa,Okapi Wildlife Reserve,296.08,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,Core Reserve,Chimpanzee,296.08,Medium,Very High,Critically Endangered,6.73,5.73
2015,1.5892580260189053,28.497422013323355,Ituri,Epulu,Okapi Wildlife Reserve,284.42,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,Core Reserve,Grauer's Gorilla,284.42,Low,Very High,Vulnerable,4.74,8.4
2016,1.577262098243818,28.567808369210354,Ituri,Epulu,Okapi Wildlife Reserve,282.23,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,Core Reserve,Okapi,282.23,High,Very High,Critically Endangered,5.63,7.96
2016,1.5765352693983226,28.570664439646443,Ituri,Epulu,Okapi Wildlife Reserve,273.68,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,Core Reserve,Forest Elephant,273.68,Low,Very High,Critically Endangered,3.61,9.71
2016,1.6992074655649507,28.605961833786047,Ituri,Epulu,Okapi Wildlife Reserve,267.57,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,Core Reserve,Chimpanzee,267.57,Low,Very High,Vulnerable,8.65,4.32
2016,1.6454801908058534,28.603643078768965,Ituri,Epulu,Okapi Wildlife Reserve,301.15,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,Core Reserve,Grauer's Gorilla,301.15,Medium,Very High,Critically Endangered,9.67,6.91
2017,1.6390413574749716,28.63635181925939,Ituri,Wamba,Okapi Wildlife Reserve,284.07,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,Core Reserve,Okapi,284.07,Medium,Very High,Endangered,7.35,2.07
2017,1.6834700643688072,28.679541007871173,Ituri,Epulu,Okapi Wildlife Reserve,314.9,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,Core Reserve,Forest Elephant,314.9,Medium,Very High,Vulnerable,6.1,8.64
2017,1.560448942038376,28.657378717704603,Ituri,Mambasa,Okapi Wildlife Reserve,314.28,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,Core Reserve,Chimpanzee,314.28,Medium,Very High,Vulnerable,5.4,4.17
2017,1.5994705473950015,28.605239453646522,Ituri,Mambasa,Okapi Wildlife Reserve,278.25,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,Core Reserve,Grauer's Gorilla,278.25,Medium,Very High,Critically Endangered,7.18,9.08
2018,1.6983524991207561,28.540565159085602,Ituri,Epulu,Okapi Wildlife Reserve,285.67,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,Core Reserve,Okapi,285.67,Medium,Very High,Vulnerable,4.77,1.83
2018,1.698450142282782,28.61563702241631,Ituri,Mambasa,Okapi Wildlife Reserve,289.93,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,Core Reserve,Forest Elephant,289.93,High,Very High,Vulnerable,2.35,7.04
2018,1.6129744221717757,28.6056839664741,Ituri,Wamba,Okapi Wildlife Reserve,309.99,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,Core Reserve,Chimpanzee,309.99,High,Very High,Vulnerable,2.44,3.48
2018,1.612848908366916,28.564423299575655,Ituri,Mambasa,Okapi Wildlife Reserve,312.06,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,Core Reserve,Grauer's Gorilla,312.06,Medium,Very High,Critically Endangered,2.61,4.99
2019,1.6483716474744043,28.609745379236134,Ituri,Wamba,Okapi Wildlife Reserve,326.74,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,Core Reserve,Okapi,326.74,High,Very High,Vulnerable,3.02,9.28
2019,1.5635542970340692,28.657217994975028,Ituri,Wamba,Okapi Wildlife Reserve,311.04,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,Core Reserve,Forest Elephant,311.04,Medium,Very High,Endangered,5.7,9.71
2019,1.6233118938862583,28.6434788985916,Ituri,Mambasa,Okapi Wildlife Reserve,306.54,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,Core Reserve,Chimpanzee,306.54,Low,Very High,Vulnerable,2.72,5.36
2019,1.6376700118768108,28.510413469206103,Ituri,Epulu,Okapi Wildlife Reserve,317.87,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,Core Reserve,Grauer's Gorilla,317.87,High,Very High,Endangered,5.44,5.01
2020,1.7017295649339406,28.595403564836133,Ituri,Epulu,Okapi Wildlife Reserve,304.34,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,Core Reserve,Okapi,304.34,Low,Very High,Critically Endangered,2.42,3.49
2020,1.5337635098036058,28.52348619278941,Ituri,Epulu,Okapi Wildlife Reserve,349.52,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,Core Reserve,Forest Elephant,349.52,Low,Very High,Critically Endangered,3.83,9.34
2020,1.612732041534327,28.486646016778206,Ituri,Epulu,Okapi Wildlife Reserve,320.75,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,Core Reserve,Chimpanzee,320.75,Low,Very High,Critically Endangered,2.24,5.41
2020,1.6871159950261092,28.622568593819935,Ituri,Wamba,Okapi Wildlife Reserve,329.46,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,Core Reserve,Grauer's Gorilla,329.46,Low,Very High,Vulnerable,8.1,8.14
2021,1.6449907603954095,28.4921689462784,Ituri,Wamba,Okapi Wildlife Reserve,327.45,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,Core Reserve,Okapi,327.45,High,Very High,Endangered,2.41,5.46
2021,1.6648701407322537,28.57568559215988,Ituri,Mambasa,Okapi Wildlife Reserve,343.6,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,Core Reserve,Forest Elephant,343.6,High,Very High,Endangered,4.98,3.93
