year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,carbon_loss_tons,carbon_loss_per_ha,biomass_loss_ha,fire_related_emissions,logging_related_emissions,mining_related_emissions
2014,1.6169888176226193,28.48860659204328,Ituri,Epulu,Okapi Wildlife Reserve,397.39,3.9739,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,79478.1,204.72,397.39,15895.62,23843.43,11921.72
2015,1.7114120508961945,28.585269817840253,Ituri,Epulu,Okapi Wildlife Reserve,411.92,4.1192,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,82384.74,172.3,411.92,16476.95,24715.42,12357.71
2016,1.6733705780813661,28.661583317472513,Ituri,Epulu,Okapi Wildlife Reserve,418.6,4.186,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,83720.91,241.0,418.6,16744.18,25116.27,12558.14
2017,1.7056675823652079,28.634793568401253,Ituri,Epulu,Okapi Wildlife Reserve,439.0,4.39,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,87800.29,188.61,439.0,17560.06,26340.09,13170.04
2018,1.6358815294515021,28.48586123414241,Ituri,Wamba,Okapi Wildlife Reserve,440.1,4.401,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,88019.72,165.49,440.1,17603.94,26405.92,13202.96
2019,1.667328449970118,28.624408186655824,Ituri,Wamba,Okapi Wildlife Reserve,480.1,4.801,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,96019.56,208.17,480.1,19203.91,28805.87,14402.93
2020,1.5642015142311898,28.50227252299138,Ituri,Mambasa,Okapi Wildlife Reserve,480.3,4.803,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,96060.18,167.59,480.3,19212.04,28818.05,14409.03
2021,1.5540256466884457,28.56359869104258,Ituri,Epulu,Okapi Wildlife Reserve,480.63,4.8063,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-05-15,96126.12,190.19,480.63,19225.22,28837.84,14418.92
2022,1.5752781557154512,28.605504669253364,Ituri,Mambasa,Okapi Wildlife Reserve,486.19,4.8619,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-05-15,97237.95,237.85,486.19,19447.59,29171.39,14585.69
2023,1.7319042046298059,28.506535490915162,Ituri,Epulu,Okapi Wildlife Reserve,487.14,4.8714,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-05-15,97428.77,152.81,487.14,19485.75,29228.63,14614.32
2024,1.563234674370288,28.629402685147088,Ituri,Wamba,Okapi Wildlife Reserve,506.89,5.0689,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,101378.65,158.93,506.89,20275.73,30413.59,15206.8
2025,1.7051637324627906,28.650121676412514,Ituri,Mambasa,Okapi Wildlife Reserve,542.57,5.4257,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,108513.67,247.06,542.57,21702.73,32554.1,16277.05
2026,1.6117489991835983,28.53813417254525,Ituri,Wamba,Okapi Wildlife Reserve,543.06,5.4306,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,108611.49,161.92,543.06,21722.3,32583.45,16291.72
