year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,habitat_zone,species_name,habitat_loss_ha,fragmentation_level,conservation_priority,threat_level,proximity_to_mining,proximity_to_logging
2005,1.704949959168835,28.596221792137747,Ituri,Epulu,Okapi Wildlife Reserve,174.62,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,Core Reserve,Chimpanzee,174.62,High,Very High,Vulnerable,7.14,4.08
2005,1.5361268158345172,28.530953950970147,Ituri,Wamba,Okapi Wildlife Reserve,186.44,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-05-15,Core Reserve,Grauer's Gorilla,186.44,High,Very High,Vulnerable,1.63,3.39
2006,1.6970731070596463,28.576470295968527,Ituri,Wamba,Okapi Wildlife Reserve,184.88,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,Core Reserve,Okapi,184.88,High,Very High,Endangered,8.74,7.47
2006,1.5480548296575138,28.633912083386086,Ituri,Mambasa,Okapi Wildlife Reserve,174.73,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,Core Reserve,Forest Elephant,174.73,Low,Very High,Endangered,3.05,4.87
2006,1.5586641710637954,28.541249245017518,Ituri,Epulu,Okapi Wildlife Reserve,192.39,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-05-15,Core Reserve,Chimpanzee,192.39,Medium,Very High,Endangered,8.8,3.71
2006,1.6817693443713562,28.54183841724516,Ituri,Epulu,Okapi Wildlife Reserve,164.7,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,Core Reserve,Grauer's Gorilla,164.7,Low,Very High,Vulnerable,9.77,4.61
2007,1.66814081333254,28.615971090222416,Ituri,Wamba,Okapi Wildlife Reserve,194.69,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-05-15,Core Reserve,Okapi,194.69,High,Very High,Critically Endangered,6.28,7.22
2007,1.7017345378294229,28.67903130125966,Ituri,Mambasa,Okapi Wildlife Reserve,204.83,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-05-15,Core Reserve,Forest Elephant,204.83,Medium,Very High,Critically Endangered,9.18,5.97
2007,1.7121569191828638,28.676884575271693,Ituri,Wamba,Okapi Wildlife Reserve,178.11,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-05-15,Core Reserve,Chimpanzee,178.11,Medium,Very High,Endangered,6.75,2.51
2007,1.7236824218897584,28.553834645711174,Ituri,Epulu,Okapi Wildlife Reserve,189.02,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,Core Reserve,Grauer's Gorilla,189.02,Medium,Very High,Critically Endangered,6.88,1.95
2008,1.68456995335429,28.542478182087272,Ituri,Mambasa,Okapi Wildlife Reserve,218.49,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,Core Reserve,Okapi,218.49,Medium,Very High,Endangered,1.9,4.28
2008,1.7220726473685646,28.517586061791697,Ituri,Mambasa,Okapi Wildlife Reserve,189.24,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,Core Reserve,Forest Elephant,189.24,Medium,Very High,Critically Endangered,4.16,2.16
2008,1.6001219007421144,28.52453943256641,Ituri,Wamba,Okapi Wildlife Reserve,208.13,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,Core Reserve,Chimpanzee,208.13,Low,Very High,Critically Endangered,8.76,1.6
2008,1.5828602206504059,28.512664758741877,Ituri,Epulu,Okapi Wildlife Reserve,192.17,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,Core Reserve,Grauer's Gorilla,192.17,High,Very High,Vulnerable,7.87,7.48
2009,1.6011857435503896,28.669139104433317,Ituri,Epulu,Okapi Wildlife Reserve,223.66,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,Core Reserve,Okapi,223.66,Medium,Very High,Critically Endangered,3.82,2.58
2009,1.70120820906013,28.64278166240541,Ituri,Epulu,Okapi Wildlife Reserve,238.99,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,Core Reserve,Forest Elephant,238.99,Low,Very High,Vulnerable,4.03,3.46
2009,1.5350859569489606,28.625289364995766,Ituri,Wamba,Okapi Wildlife Reserve,202.84,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-05-15,Core Reserve,Chimpanzee,202.84,High,Very High,Endangered,3.71,4.81
2009,1.6343754867994373,28.525220369355214,Ituri,Mambasa,Okapi Wildlife Reserve,233.57,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-05-15,Core Reserve,Grauer's Gorilla,233.57,Low,Very High,Critically Endangered,6.4,6.44
2010,1.691498956068179,28.64639015443241,Ituri,Mambasa,Okapi Wildlife Reserve,236.1,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-05-15,Core Reserve,Okapi,236.1,Medium,Very High,Vulnerable,5.47,4.01
2010,1.7233462077747708,28.49765385436804,Ituri,Wamba,Okapi Wildlife Reserve,229.6,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-05-15,Core Reserve,Forest Elephant,229.6,Medium,Very High,Vulnerable,9.65,1.83
2010,1.6706181272527911,28.681302761220135,Ituri,Mambasa,Okapi Wildlife Reserve,220.05,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-05-15,Core Reserve,Chimpanzee,220.05,High,Very High,Vulnerable,1.52,1.15
2010,1.5377393704077957,28.59601707236339,Ituri,Epulu,Okapi Wildlife Reserve,223.31,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,Core Reserve,Grauer's Gorilla,223.31,Medium,Very High,Vulnerable,7.3,1.94
2011,1.5568918926643889,28.586953025835747,Ituri,Wamba,Okapi Wildlife Reserve,239.08,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,Core Reserve,Okapi,239.08,High,Very High,Critically Endangered,6.75,2.74
2011,1.6602307041410476,28.550129393473473,Ituri,Epulu,Okapi Wildlife Reserve,230.25,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,Core Reserve,Forest Elephant,230.25,Low,Very High,Critically Endangered,4.54,5.34
2011,1.5736504355942644,28.601054671415493,Ituri,Epulu,Okapi Wildlife Reserve,226.28,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,Core Reserve,Chimpanzee,226.28,High,Very High,Critically Endangered,2.59,1.62
2011,1.7006259579813034,28.553449005506327,Ituri,Epulu,Okapi Wildlife Reserve,241.98,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,Core Reserve,Grauer's Gorilla,241.98,High,Very High,Endangered,1.52,5.64
2012,1.5549213199717882,28.564903674132665,Ituri,Mambasa,Okapi Wildlife Reserve,242.06,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,Core Reserve,Okapi,242.06,Low,Very High,Critically Endangered,8.11,8.07
2012,1.6107318008670273,28.551084961112835,Ituri,Epulu,Okapi Wildlife Reserve,260.0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,Core Reserve,Forest Elephant,260.0,Low,Very High,Endangered,7.74,8.81
2012,1.6092545683733182,28.645391114907547,Ituri,Epulu,Okapi Wildlife Reserve,248.18,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,Core Reserve,Chimpanzee,248.18,Low,Very High,Critically Endangered,3.58,2.67
2012,1.6435611281414273,28.653576492690334,Ituri,Mambasa,Okapi Wildlife Reserve,220.58,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,Core Reserve,Grauer's Gorilla,220.58,Low,Very High,Critically Endangered,8.94,7.68
2013,1.6688187734585191,28.615625603322204,Ituri,Epulu,Okapi Wildlife Reserve,266.74,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-05-15,Core Reserve,Okapi,266.74,Low,Very High,Endangered,6.17,6.54
2013,1.5912616797062107,28.629309274200214,Ituri,Mambasa,Okapi Wildlife Reserve,261.38,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,Core Reserve,Forest Elephant,261.38,Medium,Very High,Critically Endangered,6.87,8.99
2013,1.624217776910325,28.588782459400683,Ituri,Epulu,Okapi Wildlife Reserve,254.74,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-05-15,Core Reserve,Chimpanzee,254.74,High,Very High,Critically Endangered,2.81,2.11
2013,1.5639919926345047,28.556319691148364,Ituri,Mambasa,Okapi Wildlife Reserve,255.09,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,Core Reserve,Grauer's Gorilla,255.09,Medium,Very High,Vulnerable,4.91,5.82
2014,1.5668802406223128,28.508639573523045,Ituri,Epulu,Okapi Wildlife Reserve,267.59,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-05-15,Core Reserve,Okapi,267.59,Medium,Very High,Critically Endangered,3.19,1.45
2014,1.6257591056281722,28.664697384805425,Ituri,Mambasa,Okapi Wildlife Reserve,264.97,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,Core Reserve,Forest Elephant,264.97,Medium,Very High,Critically Endangered,7.86,3.88
2014,1.538354673026739,28.531772293024734,Ituri,Mambasa,Okapi Wildlife Reserve,282.86,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,Core Reserve,Chimpanzee,282.86,Low,Very High,Critically Endangered,3.22,8.04
2014,1.5994709190598044,28.60899601069204,Ituri,Wamba,Okapi Wildlife Reserve,261.77,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,Core Reserve,Grauer's Gorilla,261.77,Low,Very High,Vulnerable,8.57,6.71
2015,1.5903650852049336,28.554887987191844,Ituri,Wamba,Okapi Wildlife Reserve,289.8,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,Core Reserve,Okapi,289.8,High,Very High,Critically Endangered,7.05,5.46
2015,1.6080114396956242,28.628497722019898,Ituri,Wamba,Okapi Wildlife Reserve,266.0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,Core Reserve,Forest Elephant,266.0,Low,Very High,Critically Endangered,8.84,8.68
2015,1.5879202043622584,28.58495621962641,Ituri,Mambasa,Okapi Wildlife Reserve,294.66,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-05-15,Core Reserve,Chimpanzee,294.66,High,Very High,Critically Endangered,4.42,9.56
2015,1.605516897130913,28.535348728339414,Ituri,Wamba,Okapi Wildlife Reserve,262.09,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-05-15,Core Reserve,Grauer's Gorilla,262.09,Low,Very High,Critically Endangered,4.33,3.74
2016,1.5487835269365422,28.630636008981632,Ituri,Wamba,Okapi Wildlife Reserve,278.58,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,Core Reserve,Okapi,278.58,High,Very High,Endangered,7.95,2.0
2016,1.7198031408445267,28.577573704401043,Ituri,Wamba,Okapi Wildlife Reserve,286.56,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,Core Reserve,Forest Elephant,286.56,Medium,Very High,Critically Endangered,6.13,6.1
2016,1.7252410075158102,28.580550635655058,Ituri,Mambasa,Okapi Wildlife Reserve,291.03,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,Core Reserve,Chimpanzee,291.03,Medium,Very High,Critically Endangered,6.67,8.86
2016,1.54907724277294,28.653351054853797,Ituri,Epulu,Okapi Wildlife Reserve,302.13,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-05-15,Core Reserve,Grauer's Gorilla,302.13,High,Very High,Vulnerable,3.15,6.82
2017,1.6974073385602964,28.57890239478521,Ituri,Mambasa,Okapi Wildlife Reserve,316.13,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,Core Reserve,Okapi,316.13,High,Very High,Vulnerable,4.38,2.24
2017,1.5787916882687738,28.682332656138577,Ituri,Epulu,Okapi Wildlife Reserve,285.38,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,Core Reserve,Forest Elephant,285.38,Medium,Very High,Critically Endangered,5.32,5.48
2017,1.7209867035955486,28.645695948405503,Ituri,Wamba,Okapi Wildlife Reserve,276.8,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,Core Reserve,Chimpanzee,276.8,Medium,Very High,Vulnerable,9.82,7.25
2017,1.7271545317076624,28.516881096753764,Ituri,Wamba,Okapi Wildlife Reserve,270.1,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,Core Reserve,Grauer's Gorilla,270.1,Low,Very High,Vulnerable,4.84,4.94
2018,1.711762191976059,28.615561997578173,Ituri,Epulu,Okapi Wildlife Reserve,305.59,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,Core Reserve,Okapi,305.59,High,Very High,Critically Endangered,8.48,4.41
2018,1.6590478618460038,28.562245869631827,Ituri,Epulu,Okapi Wildlife Reserve,306.56,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-05-15,Core Reserve,Forest Elephant,306.56,Medium,Very High,Endangered,2.63,9.17
2018,1.5515926298084857,28.666166031061838,Ituri,Wamba,Okapi Wildlife Reserve,320.97,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,Core Reserve,Chimpanzee,320.97,High,Very High,Endangered,6.33,1.91
2018,1.5984669422535025,28.60723403316176,Ituri,Wamba,Okapi Wildlife Reserve,299.03,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,Core Reserve,Grauer's Gorilla,299.03,High,Very High,Critically Endangered,5.92,2.19
2019,1.592030860929065,28.663578592348244,Ituri,Epulu,Okapi Wildlife Reserve,322.23,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-05-15,Core Reserve,Okapi,322.23,High,Very High,Endangered,6.53,7.65
2019,1.7173657454878706,28.572758612729057,Ituri,Epulu,Okapi Wildlife Reserve,308.57,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,Core Reserve,Forest Elephant,308.57,Low,Very High,Vulnerable,1.6,1.11
2019,1.5744028855776648,28.53878015557872,Ituri,Epulu,Okapi Wildlife Reserve,336.74,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,Core Reserve,Chimpanzee,336.74,High,Very High,Critically Endangered,6.46,2.89
2019,1.593411047322537,28.508145232021402,Ituri,Wamba,Okapi Wildlife Reserve,293.54,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,Core Reserve,Grauer's Gorilla,293.54,Medium,Very High,Vulnerable,3.33,6.34
2020,1.616287688207255,28.542218078986387,Ituri,Wamba,Okapi Wildlife Reserve,328.06,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-05-15,Core Reserve,Okapi,328.06,Medium,Very High,Endangered,7.48,6.26
2020,1.6570559699067768,28.63244197777107,Ituri,Epulu,Okapi Wildlife Reserve,323.75,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,Core Reserve,Forest Elephant,323.75,Low,Very High,Critically Endangered,6.48,7.9
2020,1.7096491178878825,28.49394784170197,Ituri,Mambasa,Okapi Wildlife Reserve,312.99,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,Core Reserve,Chimpanzee,312.99,Medium,Very High,Endangered,5.86,3.14
2020,1.626336686738759,28.659029339689432,Ituri,Mambasa,Okapi Wildlife Reserve,309.97,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,Core Reserve,Grauer's Gorilla,309.97,High,Very High,Endangered,4.39,8.96
2021,1.7127817210181193,28.649180758519353,Ituri,Mambasa,Okapi Wildlife Reserve,348.38,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,Core Reserve,Okapi,348.38,Low,Very High,Endangered,7.59,4.24
2021,1.6727394160276292,28.648907927187178,Ituri,Mambasa,Okapi Wildlife Reserve,313.66,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,Core Reserve,Forest Elephant,313.66,High,Very High,Endangered,1.97,6.77
