year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,annual_forest_loss_ha,cumulative_loss_ha,remaining_forest_ha,percent_loss,forest_fragmentation_index,primary_forest_loss_ha,degradation_intensity
2010,1.6719106917144644,28.523722020511425,Ituri,Epulu,Okapi Wildlife Reserve,3954.74,39.55,0.2881,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,3954.74,30000,1342625,2.19,0.36,3163.79,High
2011,1.6084247498397353,28.57120301887158,Ituri,Wamba,Okapi Wildlife Reserve,3835.38,38.35,0.2794,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,3835.38,33000,1339625,2.4,0.15,3068.31,High
2012,1.618075577375393,28.521293867077965,Ituri,Wamba,Okapi Wildlife Reserve,4202.32,42.02,0.3062,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,4202.32,36000,1336625,2.62,0.17,3361.86,Low
2013,1.641435523500085,28.51123032654451,Ituri,Epulu,Okapi Wildlife Reserve,4282.92,42.83,0.312,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,4282.92,39000,1333625,2.84,0.31,3426.34,High
2014,1.5459526510360027,28.67285626546399,Ituri,Wamba,Okapi Wildlife Reserve,4238.37,42.38,0.3088,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-05-15,4238.37,42000,1330625,3.06,0.25,3390.7,High
2015,1.699876968522332,28.576319615303962,Ituri,Mambasa,Okapi Wildlife Reserve,4738.35,47.38,0.3452,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,4738.35,45000,1327625,3.28,0.24,3790.68,High
2016,1.5472592949688975,28.563729472639878,Ituri,Wamba,Okapi Wildlife Reserve,4529.08,45.29,0.33,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-05-15,4529.08,48000,1324625,3.5,0.32,3623.26,Low
2017,1.5905817862337177,28.601903262335195,Ituri,Epulu,Okapi Wildlife Reserve,4748.3,47.48,0.3459,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,4748.3,51000,1321625,3.72,0.23,3798.64,Low
2018,1.552770058812827,28.623897257335376,Ituri,Epulu,Okapi Wildlife Reserve,4905.09,49.05,0.3574,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,4905.09,54000,1318625,3.93,0.29,3924.07,Low
2019,1.5402835709504883,28.55256326386021,Ituri,Mambasa,Okapi Wildlife Reserve,4913.68,49.14,0.358,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,4913.68,57000,1315625,4.15,0.22,3930.94,Low
2020,1.721502641801798,28.62655545743612,Ituri,Epulu,Okapi Wildlife Reserve,5375.27,53.75,0.3916,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,5375.27,60000,1312625,4.37,0.15,4300.22,High
2021,1.7191621052126251,28.61114678155581,Ituri,Wamba,Okapi Wildlife Reserve,5250.23,52.5,0.3825,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-05-15,5250.23,63000,1309625,4.59,0.37,4200.18,High
2022,1.6228353202276204,28.553392733478223,Ituri,Wamba,Okapi Wildlife Reserve,5585.07,55.85,0.4069,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,5585.07,66000,1306625,4.81,0.15,4468.06,Low
2023,1.6461188942294822,28.598157725497963,Ituri,Wamba,Okapi Wildlife Reserve,5767.89,57.68,0.4202,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,5767.89,69000,1303625,5.03,0.14,4614.31,High
2024,1.5892080740021597,28.614411950374404,Ituri,Wamba,Okapi Wildlife Reserve,5705.8,57.06,0.4157,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,5705.8,72000,1300625,5.25,0.2,4564.64,Low
2025,1.7321647251412724,28.559401984912085,Ituri,Wamba,Okapi Wildlife Reserve,6230.2,62.3,0.4539,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,6230.2,75000,1297625,5.46,0.28,4984.16,Low
2026,1.5896699098107254,28.593573816024765,Ituri,Mambasa,Okapi Wildlife Reserve,6123.6,61.24,0.4461,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,6123.6,78000,1294625,5.68,0.27,4898.88,High
