year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,mining_site_id,mining_type,year_detected,mining_area_ha,forest_loss_due_to_mining_ha,distance_to_road_km,river_proximity_km,inside_protected_area,biodiversity_risk_level
2006,1.730201803578294,28.648514153100265,Ituri,Mambasa,Okapi Wildlife Reserve,17.98,0.1798,7.96,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,M-2006-0,Semi-Industrial,2006,17.98,16.19,16.15,4.48,True,Medium
2007,1.6969658306558728,28.492593062561824,Ituri,Wamba,Okapi Wildlife Reserve,12.93,0.1293,7.33,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,M-2007-0,Semi-Industrial,2007,12.93,11.63,18.66,3.1,True,Medium
2007,1.630819707153693,28.48787748745131,Ituri,Wamba,Okapi Wildlife Reserve,11.62,0.1162,8.0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,M-2007-1,Semi-Industrial,2007,11.62,10.46,1.68,1.71,True,High
2007,1.713619401005164,28.485677943124344,Ituri,Epulu,Okapi Wildlife Reserve,10.32,0.1032,3.69,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,M-2007-2,Semi-Industrial,2007,10.32,9.29,16.4,3.22,True,Medium
2008,1.636469416559809,28.610498825796164,Ituri,Mambasa,Okapi Wildlife Reserve,18.61,0.1861,7.33,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,M-2008-0,Semi-Industrial,2008,18.61,16.75,6.36,2.59,True,High
2009,1.7003647120293937,28.52908238487028,Ituri,Wamba,Okapi Wildlife Reserve,19.42,0.1942,3.67,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,M-2009-0,Artisanal,2009,19.42,17.47,7.38,4.53,False,High
2009,1.6144978859657995,28.621272424434345,Ituri,Mambasa,Okapi Wildlife Reserve,17.05,0.1705,3.66,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,M-2009-1,Artisanal,2009,17.05,15.35,16.14,1.15,False,High
2010,1.6205509157012081,28.581712886701293,Ituri,Mambasa,Okapi Wildlife Reserve,15.17,0.1517,4.56,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,M-2010-0,Artisanal,2010,15.17,13.66,18.15,2.51,True,Medium
2010,1.6465451727210045,28.57458627539862,Ituri,Wamba,Okapi Wildlife Reserve,14.15,0.1415,3.06,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,M-2010-1,Artisanal,2010,14.15,12.73,7.29,4.85,True,High
2011,1.5978453755731143,28.592527988437787,Ituri,Epulu,Okapi Wildlife Reserve,19.89,0.1989,7.29,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,M-2011-0,Semi-Industrial,2011,19.89,17.9,3.74,4.92,False,High
2011,1.5608871194512035,28.50288432250743,Ituri,Wamba,Okapi Wildlife Reserve,11.16,0.1116,2.82,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,M-2011-1,Semi-Industrial,2011,11.16,10.04,5.02,4.39,False,Medium
2012,1.5847899087066428,28.517147971020147,Ituri,Epulu,Okapi Wildlife Reserve,17.28,0.1728,3.35,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,M-2012-0,Artisanal,2012,17.28,15.55,4.37,1.07,True,Medium
2012,1.6267438688620293,28.565558516191984,Ituri,Epulu,Okapi Wildlife Reserve,12.5,0.125,3.68,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,M-2012-1,Artisanal,2012,12.5,11.25,3.96,1.88,False,Medium
2012,1.6769529095570723,28.605600373683863,Ituri,Mambasa,Okapi Wildlife Reserve,17.56,0.1756,6.82,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,M-2012-2,Semi-Industrial,2012,17.56,15.8,15.42,0.95,True,High
2012,1.6261738885852688,28.491279491969383,Ituri,Epulu,Okapi Wildlife Reserve,14.75,0.1475,3.76,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,M-2012-3,Semi-Industrial,2012,14.75,13.27,16.18,4.63,False,High
2013,1.540118214021558,28.539228353222885,Ituri,Wamba,Okapi Wildlife Reserve,15.87,0.1587,4.29,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,M-2013-0,Semi-Industrial,2013,15.87,14.28,6.66,3.73,True,High
2014,1.6520197431759027,28.677338201563227,Ituri,Wamba,Okapi Wildlife Reserve,17.58,0.1758,2.08,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,M-2014-0,Artisanal,2014,17.58,15.83,7.52,2.57,True,Medium
2014,1.6172263327717293,28.493294819743447,Ituri,Mambasa,Okapi Wildlife Reserve,16.99,0.1699,4.78,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,M-2014-1,Semi-Industrial,2014,16.99,15.29,0.98,1.43,False,Medium
2015,1.7240866371731902,28.635151696910068,Ituri,Mambasa,Okapi Wildlife Reserve,14.54,0.1454,2.37,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-06-09,M-2015-0,Semi-Industrial,2015,14.54,13.09,14.97,4.99,True,Medium
2015,1.656985819652026,28.60924800683471,Ituri,Mambasa,Okapi Wildlife Reserve,16.26,0.1626,6.01,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,M-2015-1,Artisanal,2015,16.26,14.63,16.96,3.13,False,High
2015,1.5438509123332647,28.523068455191826,Ituri,Wamba,Okapi Wildlife Reserve,21.92,0.2192,7.69,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,M-2015-2,Artisanal,2015,21.92,19.73,2.13,3.0,True,High
2015,1.6962812536689371,28.59756992272199,Ituri,Epulu,Okapi Wildlife Reserve,21.28,0.2128,3.62,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,M-2015-3,Artisanal,2015,21.28,19.15,8.28,3.84,True,High
2016,1.535813286749381,28.502983918785834,Ituri,Epulu,Okapi Wildlife Reserve,18.64,0.1864,2.64,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,M-2016-0,Semi-Industrial,2016,18.64,16.77,6.45,1.27,False,High
2016,1.6559969806997965,28.58232721102471,Ituri,Mambasa,Okapi Wildlife Reserve,17.16,0.1716,5.85,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,M-2016-1,Artisanal,2016,17.16,15.45,10.08,2.85,True,Medium
2016,1.7331480227613336,28.52823112804858,Ituri,Epulu,Okapi Wildlife Reserve,14.37,0.1437,3.83,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,M-2016-2,Artisanal,2016,14.37,12.93,1.96,1.37,True,Medium
2016,1.732303906755147,28.682694202903566,Ituri,Wamba,Okapi Wildlife Reserve,21.89,0.2189,4.11,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,M-2016-3,Semi-Industrial,2016,21.89,19.7,2.88,0.99,False,Medium
2017,1.6097697753847662,28.52424401196732,Ituri,Wamba,Okapi Wildlife Reserve,15.88,0.1588,3.97,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,M-2017-0,Semi-Industrial,2017,15.88,14.3,5.91,4.2,False,Medium
2017,1.5884257212792023,28.576138351040928,Ituri,Mambasa,Okapi Wildlife Reserve,15.85,0.1585,3.97,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,M-2017-1,Semi-Industrial,2017,15.85,14.26,4.35,4.87,False,Medium
2017,1.657428831107998,28.64037054840068,Ituri,Mambasa,Okapi Wildlife Reserve,22.06,0.2206,5.13,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,M-2017-2,Semi-Industrial,2017,22.06,19.86,16.3,2.73,False,Medium
2017,1.5682657332688599,28.57796768079668,Ituri,Wamba,Okapi Wildlife Reserve,16.12,0.1612,5.83,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,M-2017-3,Artisanal,2017,16.12,14.51,19.72,1.81,False,High
2017,1.7285183092540652,28.55590476772652,Ituri,Wamba,Okapi Wildlife Reserve,21.79,0.2179,7.92,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,M-2017-4,Semi-Industrial,2017,21.79,19.61,18.83,2.88,False,High
2018,1.7281028528336955,28.484729421861303,Ituri,Mambasa,Okapi Wildlife Reserve,18.22,0.1822,5.46,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,M-2018-0,Artisanal,2018,18.22,16.4,8.29,2.33,True,High
2018,1.6314337553793297,28.533736110762092,Ituri,Wamba,Okapi Wildlife Reserve,18.39,0.1839,2.93,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,M-2018-1,Artisanal,2018,18.39,16.55,9.61,3.51,False,Medium
2018,1.6786853607514811,28.550558046700775,Ituri,Mambasa,Okapi Wildlife Reserve,15.48,0.1548,4.09,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-06-09,M-2018-2,Semi-Industrial,2018,15.48,13.93,8.82,1.39,False,High
2018,1.6106097371283374,28.527624540681277,Ituri,Mambasa,Okapi Wildlife Reserve,18.13,0.1813,5.73,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,M-2018-3,Semi-Industrial,2018,18.13,16.32,13.76,3.45,True,High
2019,1.5580727479393608,28.550919077510716,Ituri,Mambasa,Okapi Wildlife Reserve,23.17,0.2317,7.29,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-06-09,M-2019-0,Artisanal,2019,23.17,20.85,11.62,3.95,False,High
2020,1.603833371557181,28.626097994765097,Ituri,Wamba,Okapi Wildlife Reserve,24.75,0.2475,5.6,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,M-2020-0,Artisanal,2020,24.75,22.28,7.0,1.0,False,Medium
2021,1.5723875253887523,28.585468882768506,Ituri,Wamba,Okapi Wildlife Reserve,23.83,0.2383,6.36,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-06-09,M-2021-0,Semi-Industrial,2021,23.83,21.44,3.91,2.2,True,Medium
2021,1.7231148343072928,28.488383034724396,Ituri,Wamba,Okapi Wildlife Reserve,23.92,0.2392,3.22,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,M-2021-1,Semi-Industrial,2021,23.92,21.53,2.78,2.59,False,High
2022,1.587485724935499,28.524760978554085,Ituri,Mambasa,Okapi Wildlife Reserve,19.59,0.1959,6.15,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,M-2022-0,Artisanal,2022,19.59,17.63,4.2,4.91,False,High
2023,1.5713859168387274,28.633428351206557,Ituri,Epulu,Okapi Wildlife Reserve,17.02,0.1702,7.05,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-06-09,M-2023-0,Semi-Industrial,2023,17.02,15.31,12.11,2.19,True,Medium
2023,1.5949943742011428,28.483393140439198,Ituri,Wamba,Okapi Wildlife Reserve,16.57,0.1657,5.06,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-06-09,M-2023-1,Semi-Industrial,2023,16.57,14.91,0.87,0.93,False,Medium
2023,1.67869982798696,28.629177531728196,Ituri,Epulu,Okapi Wildlife Reserve,19.82,0.1982,6.21,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,M-2023-2,Semi-Industrial,2023,19.82,17.83,15.33,2.17,False,High
2023,1.5539495449990175,28.656643333266285,Ituri,Mambasa,Okapi Wildlife Reserve,21.14,0.2114,3.41,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,M-2023-3,Semi-Industrial,2023,21.14,19.03,17.41,2.0,True,Medium
2023,1.634057372254833,28.65260182728512,Ituri,Epulu,Okapi Wildlife Reserve,18.72,0.1872,6.52,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,M-2023-4,Artisanal,2023,18.72,16.85,12.51,3.39,False,Medium
2024,1.6867845135894468,28.681805288136697,Ituri,Epulu,Okapi Wildlife Reserve,18.35,0.1835,2.69,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,M-2024-0,Semi-Industrial,2024,18.35,16.52,2.61,0.32,True,High
2025,1.6021389473722645,28.651748052426747,Ituri,Wamba,Okapi Wildlife Reserve,21.59,0.2159,5.06,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,M-2025-0,Artisanal,2025,21.59,19.43,7.61,2.7,True,High
2025,1.681795987654398,28.61564792785536,Ituri,Epulu,Okapi Wildlife Reserve,17.56,0.1756,2.08,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,M-2025-1,Semi-Industrial,2025,17.56,15.81,6.58,2.07,True,High
2025,1.682268202142994,28.61543211735243,Ituri,Wamba,Okapi Wildlife Reserve,20.28,0.2028,5.04,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,M-2025-2,Artisanal,2025,20.28,18.25,7.88,2.96,False,Medium
2026,1.606821995941855,28.52534776645787,Ituri,Epulu,Okapi Wildlife Reserve,19.0,0.19,7.23,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,M-2026-0,Semi-Industrial,2026,19.0,17.1,3.01,2.08,True,High
2026,1.5975586531929595,28.498697386565706,Ituri,Mambasa,Okapi Wildlife Reserve,24.74,0.2474,4.15,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,M-2026-1,Semi-Industrial,2026,24.74,22.27,4.43,4.31,True,High
2026,1.5454351836481224,28.52773574938161,Ituri,Epulu,Okapi Wildlife Reserve,20.45,0.2045,5.28,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,M-2026-2,Artisanal,2026,20.45,18.41,9.34,2.64,False,High
2026,1.648174435845633,28.568401583867054,Ituri,Wamba,Okapi Wildlife Reserve,24.28,0.2428,4.67,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,M-2026-3,Artisanal,2026,24.28,21.85,0.75,4.04,True,High
2027,1.65365616268183,28.494125661065297,Ituri,Wamba,Okapi Wildlife Reserve,23.98,0.2398,4.2,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,M-2027-0,Artisanal,2027,23.98,21.58,11.81,4.55,False,High
2027,1.6762194379626538,28.66154394012394,Ituri,Wamba,Okapi Wildlife Reserve,27.11,0.2711,2.89,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,M-2027-1,Semi-Industrial,2027,27.11,24.4,18.81,1.39,True,High
2027,1.5728124429708752,28.49277022099826,Ituri,Mambasa,Okapi Wildlife Reserve,25.14,0.2514,7.9,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,M-2027-2,Semi-Industrial,2027,25.14,22.62,6.32,3.04,False,Medium
2027,1.5501904253439416,28.497267766763283,Ituri,Mambasa,Okapi Wildlife Reserve,21.69,0.2169,5.52,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,M-2027-3,Artisanal,2027,21.69,19.52,11.8,1.3,False,Medium
2027,1.5655432326886403,28.674153323916418,Ituri,Wamba,Okapi Wildlife Reserve,19.05,0.1905,7.54,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,M-2027-4,Artisanal,2027,19.05,17.15,2.01,3.43,False,High
2028,1.7108107554456795,28.595194150740657,Ituri,Wamba,Okapi Wildlife Reserve,23.25,0.2325,7.87,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-06-09,M-2028-0,Artisanal,2028,23.25,20.92,5.99,4.69,False,High
2028,1.665892195318384,28.591379342507523,Ituri,Mambasa,Okapi Wildlife Reserve,23.22,0.2322,6.8,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,M-2028-1,Semi-Industrial,2028,23.22,20.9,2.42,1.19,False,Medium
2028,1.6352145245877407,28.562223356935924,Ituri,Epulu,Okapi Wildlife Reserve,24.02,0.2402,3.41,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,M-2028-2,Semi-Industrial,2028,24.02,21.62,11.88,4.13,False,High
2028,1.5779397291049384,28.522152890477837,Ituri,Mambasa,Okapi Wildlife Reserve,20.11,0.2011,4.39,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,M-2028-3,Semi-Industrial,2028,20.11,18.1,17.67,3.07,False,High
2028,1.7076294322443561,28.63564182768037,Ituri,Wamba,Okapi Wildlife Reserve,28.76,0.2876,2.69,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-06-09,M-2028-4,Semi-Industrial,2028,28.76,25.89,3.62,3.76,False,High
2029,1.5607696921865977,28.596689453147377,Ituri,Mambasa,Okapi Wildlife Reserve,25.5,0.255,4.6,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,M-2029-0,Semi-Industrial,2029,25.5,22.95,15.23,1.7,False,High
