year,month,temperature,temp_anomaly
2017,12,25.44,0.74
2018,1,25.02,0.32
2018,2,26.0,1.3
2018,3,26.02,1.32
2018,4,26.17,1.47
2018,5,25.52,0.82
2018,6,25.51,0.81
2018,7,24.89,0.19
2018,8,25.11,0.41
2018,9,25.07,0.37
2018,10,24.47,-0.23
2018,11,24.57,-0.13
2018,12,25.23,0.53
2019,1,24.91,0.21
2019,2,24.89,0.19
2019,3,25.92,1.22
2019,4,25.55,0.85
2019,5,25.86,1.16
2019,6,25.83,1.13
2019,7,25.07,0.37
2019,8,25.15,0.45
2019,9,25.02,0.32
2019,10,24.84,0.14
2019,11,24.73,0.03
2019,12,24.72,0.02
2020,1,25.21,0.51
2020,2,25.5,0.8
2020,3,25.9,1.2
2020,4,25.64,0.94
2020,5,25.23,0.53
2020,6,25.88,1.18
2020,7,25.87,1.17
2020,8,25.36,0.66
2020,9,25.03,0.33
2020,10,25.04,0.34
2020,11,25.27,0.57
2020,12,25.19,0.49
2021,1,25.16,0.46
2021,2,25.85,1.15
2021,3,25.75,1.05
2021,4,25.24,0.54
2021,5,25.36,0.66
2021,6,24.66,-0.04
2021,7,24.98,0.28
2021,8,25.12,0.42
2021,9,24.77,0.07
2021,10,24.89,0.19
2021,11,24.11,-0.59
2021,12,25.29,0.59
2022,1,24.83,0.13
2022,2,25.39,0.69
2022,3,25.25,0.55
2022,4,26.15,1.45
2022,5,25.86,1.16
2022,6,25.76,1.06
2022,7,25.43,0.73
2022,8,25.32,0.62
2022,9,24.67,-0.03
2022,10,24.56,-0.14
2022,11,24.78,0.08
2022,12,24.58,-0.12
2023,1,25.41,0.71
2023,2,25.35,0.65
2023,3,26.32,1.62
2023,4,26.15,1.45
2023,5,25.66,0.96
2023,6,25.45,0.75
2023,7,25.33,0.63
2023,8,25.5,0.8
2023,9,25.25,0.55
2023,10,25.6,0.9
2023,11,24.59,-0.11
2023,12,25.42,0.72
2024,1,25.6,0.9
2024,2,25.76,1.06
2024,3,26.08,1.38
2024,4,25.72,1.02
2024,5,25.87,1.17
2024,6,25.52,0.82
2024,7,25.5,0.8
2024,8,25.15,0.45
2024,9,24.88,0.18
2024,10,24.56,-0.14
2024,11,25.02,0.32
2024,12,25.16,0.46
2025,1,25.09,0.39
2025,2,25.95,1.25
2025,3,25.8,1.1
2025,4,25.78,1.08
2025,5,26.09,1.39
2025,6,26.14,1.44
2025,7,25.4,0.7
2025,8,25.47,0.77
2025,9,25.0,0.3
2025,10,25.18,0.48
2025,11,25.43,0.73
2025,12,25.52,0.82
2026,1,25.44,0.74
2026,2,25.82,1.12
2026,3,25.7,1.0
2026,4,25.69,0.99
2026,5,25.74,1.04
2026,6,25.42,0.72
2026,7,25.3,0.6
2026,8,24.91,0.21
2026,9,24.43,-0.27
2026,10,24.42,-0.28
2026,11,24.82,0.12
2026,12,25.19,0.49
2027,1,25.36,0.66
2027,2,25.38,0.68
2027,3,25.83,1.13
2027,4,25.93,1.23
2027,5,25.51,0.81
2027,6,25.71,1.01
2027,7,25.8,1.1
2027,8,24.92,0.22
2027,9,25.41,0.71
2027,10,24.85,0.15
2027,11,25.3,0.6
2027,12,25.51,0.81
2028,1,25.84,1.14
2028,2,26.12,1.42
2028,3,25.88,1.18
2028,4,26.03,1.33
2028,5,25.86,1.16
2028,6,25.59,0.89
2028,7,25.66,0.96
2028,8,25.1,0.4
2028,9,24.66,-0.04
2028,10,24.99,0.29
2028,11,24.97,0.27
2028,12,25.06,0.36
2029,1,24.72,0.02
2029,2,25.64,0.94
2029,3,26.7,2.0
2029,4,25.52,0.82
2029,5,25.99,1.29
2029,6,25.62,0.92
2029,7,24.94,0.24
2029,8,25.6,0.9
2029,9,25.03,0.33
2029,10,25.06,0.36
2029,11,25.22,0.52
2029,12,24.34,-0.36
2030,1,25.21,0.51
2030,2,25.34,0.64
2030,3,26.15,1.45
2030,4,26.15,1.45
2030,5,25.93,1.23
2030,6,25.49,0.79
2030,7,24.93,0.23
2030,8,25.31,0.61
2030,9,24.84,0.14
2030,10,24.72,0.02
2030,11,25.08,0.38
2030,12,25.33,0.63
