year,month,rainfall,rain_anomaly
2015,9,196.93,10.93
2015,10,323.04,137.04
2015,11,272.05,86.05
2015,12,162.01,-23.99
2016,1,175.38,-10.62
2016,2,120.1,-65.9
2016,3,168.87,-17.13
2016,4,275.36,89.36
2016,5,232.09,46.09
2016,6,140.88,-45.12
2016,7,90.77,-95.23
2016,8,140.31,-45.69
2016,9,193.18,7.18
2016,10,257.75,71.75
2016,11,268.69,82.69
2016,12,154.19,-31.81
2017,1,118.68,-67.32
2017,2,102.89,-83.11
2017,3,200.75,14.75
2017,4,261.44,75.44
2017,5,194.61,8.61
2017,6,110.48,-75.52
2017,7,71.15,-114.85
2017,8,183.81,-2.19
2017,9,183.8,-2.2
2017,10,212.48,26.48
2017,11,194.36,8.36
2017,12,197.64,11.64
2018,1,127.92,-58.08
2018,2,136.76,-49.24
2018,3,133.2,-52.8
2018,4,221.61,35.61
2018,5,185.69,-0.31
2018,6,109.43,-76.57
2018,7,80.45,-105.55
2018,8,154.63,-31.37
2018,9,257.95,71.95
2018,10,299.32,113.32
2018,11,270.48,84.48
2018,12,189.93,3.93
2019,1,144.55,-41.45
2019,2,108.21,-77.79
2019,3,219.03,33.03
2019,4,253.67,67.67
2019,5,201.61,15.61
2019,6,87.11,-98.89
2019,7,100.35,-85.65
2019,8,189.76,3.76
2019,9,259.63,73.63
2019,10,197.57,11.57
2019,11,247.81,61.81
2019,12,171.13,-14.87
2020,1,173.49,-12.51
2020,2,178.48,-7.52
2020,3,233.6,47.6
2020,4,270.98,84.98
2020,5,294.13,108.13
2020,6,130.25,-55.75
2020,7,110.59,-75.41
2020,8,179.81,-6.19
2020,9,281.56,95.56
2020,10,251.14,65.14
2020,11,272.79,86.79
2020,12,173.07,-12.93
2021,1,156.47,-29.53
2021,2,126.1,-59.9
2021,3,158.26,-27.74
2021,4,269.2,83.2
2021,5,195.02,9.02
2021,6,115.45,-70.55
2021,7,115.08,-70.92
2021,8,132.16,-53.84
2021,9,207.16,21.16
2021,10,206.98,20.98
2021,11,190.77,4.77
2021,12,204.49,18.49
2022,1,170.77,-15.23
2022,2,114.64,-71.36
2022,3,138.32,-47.68
2022,4,266.28,80.28
2022,5,185.15,-0.85
2022,6,117.0,-69.0
2022,7,97.74,-88.26
2022,8,132.73,-53.27
2022,9,191.72,5.72
2022,10,230.42,44.42
2022,11,271.11,85.11
2022,12,156.54,-29.46
2023,1,178.99,-7.01
2023,2,115.12,-70.88
2023,3,212.17,26.17
2023,4,174.85,-11.15
2023,5,202.63,16.63
2023,6,115.7,-70.3
2023,7,128.03,-57.97
2023,8,194.54,8.54
2023,9,271.59,85.59
2023,10,227.49,41.49
2023,11,206.37,20.37
2023,12,159.44,-26.56
2024,1,114.06,-71.94
2024,2,135.83,-50.17
2024,3,176.9,-9.1
2024,4,243.26,57.26
2024,5,209.08,23.08
2024,6,133.98,-52.02
2024,7,122.27,-63.73
2024,8,154.11,-31.89
2024,9,234.29,48.29
2024,10,360.1,174.1
2024,11,182.28,-3.72
2024,12,184.38,-1.62
2025,1,179.65,-6.35
2025,2,157.11,-28.89
2025,3,158.54,-27.46
2025,4,252.1,66.1
2025,5,308.85,122.85
2025,6,141.21,-44.79
2025,7,73.82,-112.18
2025,8,136.14,-49.86
2025,9,242.51,56.51
2025,10,326.01,140.01
2025,11,221.55,35.55
2025,12,122.01,-63.99
2026,1,171.92,-14.08
2026,2,119.37,-66.63
2026,3,230.93,44.93
2026,4,234.62,48.62
2026,5,295.39,109.39
2026,6,151.09,-34.91
2026,7,100.44,-85.56
2026,8,233.22,47.22
2026,9,298.7,112.7
2026,10,334.4,148.4
2026,11,179.46,-6.54
2026,12,122.99,-63.01
2027,1,172.61,-13.39
2027,2,177.1,-8.9
2027,3,194.7,8.7
2027,4,249.56,63.56
2027,5,176.76,-9.24
2027,6,125.56,-60.44
2027,7,109.14,-76.86
2027,8,198.68,12.68
2027,9,286.43,100.43
2027,10,249.57,63.57
2027,11,194.19,8.19
2027,12,197.45,11.45
2028,1,135.65,-50.35
2028,2,154.88,-31.12
2028,3,200.33,14.33
2028,4,220.72,34.72
2028,5,199.0,13.0
2028,6,104.83,-81.17
2028,7,106.18,-79.82
2028,8,229.8,43.8
2028,9,247.73,61.73
2028,10,269.99,83.99
2028,11,181.05,-4.95
2028,12,167.72,-18.28
2029,1,194.45,8.45
2029,2,150.14,-35.86
2029,3,150.6,-35.4
2029,4,224.41,38.41
2029,5,216.37,30.37
2029,6,117.31,-68.69
2029,7,87.15,-98.85
2029,8,181.22,-4.78
2029,9,287.16,101.16
2029,10,229.68,43.68
2029,11,225.95,39.95
2029,12,178.02,-7.98
2030,1,177.4,-8.6
2030,2,98.74,-87.26
2030,3,205.97,19.97
2030,4,240.93,54.93
2030,5,186.65,0.65
2030,6,109.12,-76.88
2030,7,74.61,-111.39
2030,8,131.42,-54.58
2030,9,283.7,97.7
2030,10,250.01,64.01
2030,11,192.08,6.08
2030,12,160.3,-25.7
