year,month,temperature,rainfall,temp_anomaly,rain_anomaly,humidity,wind_speed,solar_radiation
2004,1,24.48,113.95,-0.22,-72.05,79.9,3.3,21.0
2004,2,25.31,167.74,0.61,-18.26,82.9,3.2,16.4
2004,3,25.46,127.4,0.76,-58.6,76.7,2.0,15.2
2004,4,25.26,177.95,0.56,-8.05,86.7,2.6,21.2
2004,5,25.13,213.91,0.43,27.91,82.6,3.0,16.9
2004,6,25.41,128.94,0.71,-57.06,83.2,2.9,18.1
2004,7,24.91,115.82,0.21,-70.18,77.8,3.7,18.4
2004,8,24.57,222.61,-0.13,36.61,91.0,2.6,15.2
2004,9,24.51,259.22,-0.19,73.22,80.2,1.8,20.8
2004,10,23.84,361.38,-0.86,175.38,85.5,1.9,16.9
2004,11,24.48,181.53,-0.22,-4.47,86.1,3.1,20.8
2004,12,24.31,131.82,-0.39,-54.18,75.2,1.8,21.3
2005,1,24.95,159.05,0.25,-26.95,88.3,1.9,21.4
2005,2,25.42,133.18,0.72,-52.82,82.7,2.8,15.3
2005,3,25.46,134.94,0.76,-51.06,87.1,2.1,17.7
2005,4,25.16,192.11,0.46,6.11,82.1,3.3,17.1
2005,5,25.02,274.55,0.32,88.55,93.7,3.3,16.5
2005,6,25.91,86.25,1.21,-99.75,80.2,3.0,15.4
2005,7,25.64,90.05,0.94,-95.95,90.4,1.8,15.5
2005,8,24.6,204.64,-0.1,18.64,84.9,3.2,18.0
2005,9,24.65,283.12,-0.05,97.12,88.9,2.2,19.1
2005,10,24.21,256.64,-0.49,70.64,76.8,3.8,16.0
2005,11,24.42,170.33,-0.28,-15.67,85.8,3.7,20.1
2005,12,24.81,189.43,0.11,3.43,88.2,3.2,20.9
2006,1,24.88,124.91,0.18,-61.09,94.8,3.9,15.3
2006,2,24.65,157.27,-0.05,-28.73,93.5,2.0,19.0
2006,3,25.01,225.83,0.31,39.83,94.4,3.9,18.3
2006,4,25.72,267.79,1.02,81.79,91.9,2.3,20.8
2006,5,25.36,209.5,0.66,23.5,77.4,1.7,19.9
2006,6,25.01,108.47,0.31,-77.53,89.5,1.7,17.2
2006,7,25.33,89.13,0.63,-96.87,87.5,3.7,19.3
2006,8,24.71,151.16,0.01,-34.84,75.5,3.7,15.1
2006,9,24.49,303.23,-0.21,117.23,91.0,4.0,17.5
2006,10,24.72,324.89,0.02,138.89,83.0,2.7,19.4
2006,11,24.33,200.09,-0.37,14.09,89.8,2.1,15.8
2006,12,25.09,146.04,0.39,-39.96,80.7,2.2,16.6
2007,1,24.91,139.59,0.21,-46.41,88.6,2.0,21.6
2007,2,25.25,164.05,0.55,-21.95,76.8,2.5,21.2
2007,3,25.34,192.25,0.64,6.25,78.3,4.0,16.6
2007,4,25.63,278.44,0.93,92.44,88.0,3.0,18.6
2007,5,25.17,208.07,0.47,22.07,78.7,3.4,17.5
2007,6,25.02,88.16,0.32,-97.84,94.4,3.7,21.5
2007,7,25.35,111.76,0.65,-74.24,78.1,3.5,16.6
2007,8,24.5,150.17,-0.2,-35.83,85.7,3.0,19.1
2007,9,24.31,295.98,-0.39,109.98,94.1,3.7,20.7
2007,10,24.31,306.08,-0.39,120.08,86.0,1.7,17.9
2007,11,24.08,238.15,-0.62,52.15,84.9,1.7,16.5
2007,12,24.46,177.59,-0.24,-8.41,76.5,3.6,18.5
2008,1,25.71,179.22,1.01,-6.78,82.0,3.2,19.0
2008,2,25.04,120.43,0.34,-65.57,92.6,3.5,19.6
2008,3,25.63,201.33,0.93,15.33,88.6,3.0,20.3
2008,4,25.6,174.94,0.9,-11.06,92.6,3.7,15.2
2008,5,25.33,225.27,0.63,39.27,89.9,1.9,20.7
2008,6,25.24,143.91,0.54,-42.09,85.1,1.5,17.0
2008,7,25.01,107.91,0.31,-78.09,80.2,3.1,18.8
2008,8,24.71,210.22,0.01,24.22,77.1,3.4,18.8
2008,9,24.49,259.1,-0.21,73.1,93.6,1.8,21.6
2008,10,24.53,311.56,-0.17,125.56,76.4,2.3,20.0
2008,11,24.56,190.58,-0.14,4.58,87.4,1.6,21.1
2008,12,24.49,205.45,-0.21,19.45,94.4,3.4,15.9
2009,1,25.44,166.5,0.74,-19.5,83.9,2.2,22.0
2009,2,25.21,133.8,0.51,-52.2,84.0,1.9,20.6
2009,3,25.1,134.9,0.4,-51.1,88.6,3.1,16.9
2009,4,25.69,279.51,0.99,93.51,78.0,2.6,21.6
2009,5,25.96,234.64,1.26,48.64,80.5,4.0,17.9
2009,6,24.9,148.38,0.2,-37.62,79.6,2.0,15.2
2009,7,24.6,121.86,-0.1,-64.14,84.5,3.9,16.3
2009,8,25.16,219.81,0.46,33.81,90.5,3.4,20.9
2009,9,24.73,186.9,0.03,0.9,75.7,3.8,19.3
2009,10,24.87,329.82,0.17,143.82,84.6,1.8,15.9
2009,11,24.34,172.27,-0.36,-13.73,84.8,1.7,19.1
2009,12,25.27,137.82,0.57,-48.18,91.0,2.3,18.2
2010,1,24.86,159.0,0.16,-27.0,80.8,3.2,21.0
2010,2,24.52,163.51,-0.18,-22.49,75.8,2.7,15.7
2010,3,25.43,192.76,0.73,6.76,89.0,2.9,15.1
2010,4,25.15,197.09,0.45,11.09,85.4,1.7,17.5
2010,5,25.13,260.13,0.43,74.13,88.8,3.5,16.4
2010,6,25.17,96.06,0.47,-89.94,77.1,3.1,19.9
2010,7,25.02,112.54,0.32,-73.46,92.4,3.3,20.6
2010,8,24.56,162.66,-0.14,-23.34,91.3,1.7,21.3
2010,9,24.96,233.13,0.26,47.13,87.9,2.8,20.1
2010,10,24.56,209.71,-0.14,23.71,76.2,2.1,16.1
2010,11,24.47,269.96,-0.23,83.96,81.7,2.0,20.5
2010,12,24.88,175.24,0.18,-10.76,85.0,2.9,20.0
2011,1,25.04,122.96,0.34,-63.04,88.6,1.7,15.2
2011,2,25.31,119.65,0.61,-66.35,84.3,3.7,20.1
2011,3,25.31,163.36,0.61,-22.64,82.4,4.0,15.3
2011,4,26.0,268.45,1.3,82.45,86.6,2.6,20.1
2011,5,25.78,310.11,1.08,124.11,83.4,2.2,19.1
2011,6,25.26,149.69,0.56,-36.31,79.2,3.1,19.4
2011,7,24.84,112.95,0.14,-73.05,93.2,1.9,16.7
2011,8,24.89,230.91,0.19,44.91,78.6,3.6,18.4
2011,9,24.76,232.12,0.06,46.12,85.3,2.4,19.2
2011,10,24.41,223.47,-0.29,37.47,82.8,3.9,16.8
2011,11,24.2,244.46,-0.5,58.46,77.6,3.9,18.2
2011,12,25.12,134.66,0.42,-51.34,76.5,1.9,18.6
2012,1,25.35,143.78,0.65,-42.22,80.0,3.0,19.9
2012,2,25.15,112.03,0.45,-73.97,78.4,1.6,20.2
2012,3,25.39,217.17,0.69,31.17,91.1,3.0,21.1
2012,4,26.17,181.17,1.47,-4.83,77.2,2.2,15.4
2012,5,25.7,180.9,1.0,-5.1,77.4,2.6,21.5
2012,6,25.32,106.76,0.62,-79.24,85.1,1.6,16.0
2012,7,25.32,97.28,0.62,-88.72,85.3,2.7,19.7
2012,8,24.9,141.08,0.2,-44.92,75.6,2.3,19.9
2012,9,24.8,307.67,0.1,121.67,76.9,3.2,18.1
2012,10,24.23,341.85,-0.47,155.85,78.5,3.2,20.9
2012,11,24.66,209.64,-0.04,23.64,87.4,3.7,19.0
2012,12,24.91,114.92,0.21,-71.08,93.6,3.2,19.7
2013,1,25.27,140.45,0.57,-45.55,88.0,1.8,19.6
2013,2,24.98,181.95,0.28,-4.05,76.0,3.9,17.8
2013,3,25.6,187.24,0.9,1.24,89.8,3.7,17.8
2013,4,25.7,197.17,1.0,11.17,88.4,3.5,20.3
2013,5,25.42,297.68,0.72,111.68,77.4,2.9,15.0
2013,6,25.74,107.37,1.04,-78.63,82.3,2.5,19.9
2013,7,24.78,84.25,0.08,-101.75,82.5,2.1,15.5
2013,8,24.18,191.17,-0.52,5.17,88.4,3.0,18.2
2013,9,24.94,242.75,0.24,56.75,84.6,1.6,17.4
2013,10,24.48,259.87,-0.22,73.87,83.0,3.0,18.7
2013,11,25.06,249.44,0.36,63.44,89.4,3.9,15.1
2013,12,24.99,130.79,0.29,-55.21,75.2,3.1,21.3
2014,1,25.13,110.42,0.43,-75.58,93.7,2.4,15.7
2014,2,25.33,138.81,0.63,-47.19,80.1,2.2,17.2
2014,3,25.59,159.62,0.89,-26.38,87.2,3.3,16.9
2014,4,26.02,208.59,1.32,22.59,77.4,2.0,19.8
2014,5,25.56,281.36,0.86,95.36,77.1,2.9,16.8
2014,6,24.95,153.33,0.25,-32.67,84.7,3.5,18.9
2014,7,25.14,127.08,0.44,-58.92,87.0,3.5,21.2
2014,8,24.72,150.63,0.02,-35.37,79.2,3.0,17.9
2014,9,24.29,280.4,-0.41,94.4,80.5,3.6,18.0
2014,10,24.39,308.15,-0.31,122.15,76.9,3.1,18.2
2014,11,24.31,239.85,-0.39,53.85,92.3,2.0,15.7
2014,12,24.94,114.27,0.24,-71.73,87.8,3.0,18.8
2015,1,24.96,158.5,0.26,-27.5,84.9,4.0,16.0
2015,2,24.96,156.39,0.26,-29.61,83.1,2.6,20.0
2015,3,25.73,155.61,1.03,-30.39,76.6,1.7,21.3
2015,4,26.11,179.33,1.41,-6.67,81.5,2.1,17.5
2015,5,25.57,185.14,0.87,-0.86,91.0,2.1,18.8
2015,6,25.14,147.37,0.44,-38.63,88.0,2.8,17.3
2015,7,25.49,129.65,0.79,-56.35,88.2,2.9,20.1
2015,8,24.51,176.24,-0.19,-9.76,76.2,2.9,21.7
2015,9,24.85,196.93,0.15,10.93,85.7,1.7,18.2
2015,10,24.35,323.04,-0.35,137.04,82.0,3.2,20.6
2015,11,24.36,272.05,-0.34,86.05,93.5,2.8,20.9
2015,12,24.78,162.01,0.08,-23.99,87.5,1.7,20.3
2016,1,25.19,175.38,0.49,-10.62,89.2,1.6,17.1
2016,2,25.35,120.1,0.65,-65.9,82.2,1.7,21.6
2016,3,25.03,168.87,0.33,-17.13,83.9,3.0,18.6
2016,4,25.8,275.36,1.1,89.36,84.9,4.0,21.0
2016,5,25.61,232.09,0.91,46.09,92.6,3.7,20.6
2016,6,25.37,140.88,0.67,-45.12,81.1,1.7,17.8
2016,7,25.31,90.77,0.61,-95.23,94.5,3.1,20.8
2016,8,24.63,140.31,-0.07,-45.69,92.2,3.8,18.4
2016,9,25.13,193.18,0.43,7.18,85.1,2.5,16.0
2016,10,24.82,257.75,0.12,71.75,76.4,1.6,15.9
2016,11,24.73,268.69,0.03,82.69,83.6,2.3,18.5
2016,12,25.06,154.19,0.36,-31.81,77.1,3.1,16.5
2017,1,25.63,118.68,0.93,-67.32,76.2,3.5,18.2
2017,2,25.79,102.89,1.09,-83.11,94.9,1.6,19.9
2017,3,25.42,200.75,0.72,14.75,76.2,2.8,22.0
2017,4,25.58,261.44,0.88,75.44,87.3,2.3,19.4
2017,5,24.84,194.61,0.14,8.61,92.7,2.6,16.4
2017,6,25.71,110.48,1.01,-75.52,83.3,3.6,20.1
2017,7,25.0,71.15,0.3,-114.85,80.2,3.4,16.0
2017,8,24.15,183.81,-0.55,-2.19,79.3,1.5,16.7
2017,9,24.74,183.8,0.04,-2.2,86.0,2.6,20.9
2017,10,24.85,212.48,0.15,26.48,84.8,1.9,17.3
2017,11,24.69,194.36,-0.01,8.36,82.9,2.6,20.5
2017,12,25.44,197.64,0.74,11.64,94.1,3.5,17.2
2018,1,25.02,127.92,0.32,-58.08,91.8,1.6,21.3
2018,2,26.0,136.76,1.3,-49.24,87.7,3.1,21.3
2018,3,26.02,133.2,1.32,-52.8,85.4,1.9,20.2
2018,4,26.17,221.61,1.47,35.61,88.6,1.6,15.6
2018,5,25.52,185.69,0.82,-0.31,75.2,3.9,20.2
2018,6,25.51,109.43,0.81,-76.57,80.9,2.4,20.4
2018,7,24.89,80.45,0.19,-105.55,77.0,3.2,20.4
2018,8,25.11,154.63,0.41,-31.37,75.4,1.7,21.8
2018,9,25.07,257.95,0.37,71.95,82.6,2.0,15.8
2018,10,24.47,299.32,-0.23,113.32,90.5,3.1,18.7
2018,11,24.57,270.48,-0.13,84.48,87.0,3.0,20.2
2018,12,25.23,189.93,0.53,3.93,88.1,1.8,17.4
2019,1,24.91,144.55,0.21,-41.45,87.3,3.9,16.7
2019,2,24.89,108.21,0.19,-77.79,78.9,3.7,19.5
2019,3,25.92,219.03,1.22,33.03,91.9,3.8,16.8
2019,4,25.55,253.67,0.85,67.67,84.2,3.6,20.1
2019,5,25.86,201.61,1.16,15.61,85.9,4.0,21.6
2019,6,25.83,87.11,1.13,-98.89,78.3,1.8,20.1
2019,7,25.07,100.35,0.37,-85.65,91.8,3.3,18.8
2019,8,25.15,189.76,0.45,3.76,85.2,2.2,19.0
2019,9,25.02,259.63,0.32,73.63,90.2,1.9,18.2
2019,10,24.84,197.57,0.14,11.57,79.9,3.3,21.9
2019,11,24.73,247.81,0.03,61.81,79.1,2.9,20.1
2019,12,24.72,171.13,0.02,-14.87,78.8,2.4,20.5
2020,1,25.21,173.49,0.51,-12.51,75.7,3.4,16.4
2020,2,25.5,178.48,0.8,-7.52,82.4,2.3,16.0
2020,3,25.9,233.6,1.2,47.6,82.4,2.6,20.1
2020,4,25.64,270.98,0.94,84.98,86.9,2.5,17.9
2020,5,25.23,294.13,0.53,108.13,76.9,3.0,18.4
2020,6,25.88,130.25,1.18,-55.75,76.3,2.9,18.9
2020,7,25.87,110.59,1.17,-75.41,91.1,2.2,20.8
2020,8,25.36,179.81,0.66,-6.19,76.5,1.6,17.3
2020,9,25.03,281.56,0.33,95.56,85.3,2.6,16.0
2020,10,25.04,251.14,0.34,65.14,83.7,1.7,16.5
2020,11,25.27,272.79,0.57,86.79,93.7,3.1,17.9
2020,12,25.19,173.07,0.49,-12.93,90.7,1.8,17.9
2021,1,25.16,156.47,0.46,-29.53,86.8,2.0,17.5
2021,2,25.85,126.1,1.15,-59.9,75.5,1.6,20.8
2021,3,25.75,158.26,1.05,-27.74,93.8,2.1,18.0
2021,4,25.24,269.2,0.54,83.2,91.8,2.0,20.6
2021,5,25.36,195.02,0.66,9.02,76.6,3.3,18.5
2021,6,24.66,115.45,-0.04,-70.55,89.6,3.4,16.1
2021,7,24.98,115.08,0.28,-70.92,88.1,3.9,15.5
2021,8,25.12,132.16,0.42,-53.84,80.6,2.2,16.7
2021,9,24.77,207.16,0.07,21.16,90.2,2.6,20.4
2021,10,24.89,206.98,0.19,20.98,84.8,1.6,15.4
2021,11,24.11,190.77,-0.59,4.77,93.0,1.6,19.6
2021,12,25.29,204.49,0.59,18.49,86.2,3.8,15.4
2022,1,24.83,170.77,0.13,-15.23,94.6,2.1,19.6
2022,2,25.39,114.64,0.69,-71.36,86.3,2.7,21.8
2022,3,25.25,138.32,0.55,-47.68,78.0,2.1,16.8
2022,4,26.15,266.28,1.45,80.28,86.2,2.8,15.8
2022,5,25.86,185.15,1.16,-0.85,89.2,2.9,15.6
2022,6,25.76,117.0,1.06,-69.0,84.7,1.9,21.6
2022,7,25.43,97.74,0.73,-88.26,83.2,3.1,18.8
2022,8,25.32,132.73,0.62,-53.27,85.3,3.5,18.2
2022,9,24.67,191.72,-0.03,5.72,81.6,3.4,18.6
2022,10,24.56,230.42,-0.14,44.42,92.6,3.7,21.1
2022,11,24.78,271.11,0.08,85.11,90.4,1.6,15.5
2022,12,24.58,156.54,-0.12,-29.46,93.2,2.8,18.5
2023,1,25.41,178.99,0.71,-7.01,82.6,3.4,21.8
2023,2,25.35,115.12,0.65,-70.88,85.5,2.2,20.5
2023,3,26.32,212.17,1.62,26.17,82.9,3.8,18.7
2023,4,26.15,174.85,1.45,-11.15,88.9,3.5,17.2
2023,5,25.66,202.63,0.96,16.63,92.9,3.1,16.1
2023,6,25.45,115.7,0.75,-70.3,87.3,1.7,21.2
2023,7,25.33,128.03,0.63,-57.97,83.4,4.0,19.7
2023,8,25.5,194.54,0.8,8.54,78.3,3.7,18.0
2023,9,25.25,271.59,0.55,85.59,92.8,1.7,20.1
2023,10,25.6,227.49,0.9,41.49,92.2,3.5,18.8
2023,11,24.59,206.37,-0.11,20.37,91.4,2.6,17.5
2023,12,25.42,159.44,0.72,-26.56,91.6,2.3,16.2
2024,1,25.6,114.06,0.9,-71.94,79.8,1.9,17.4
2024,2,25.76,135.83,1.06,-50.17,90.0,3.1,19.3
