site_id,site_name,commodity,impact_type,impact_score,armed_group,latitude,longitude,year,source
IPIS-76310,Site IPIS-76310,Cassiterite,Deforestation,2,Mai-Mai,1.8608974379105936,28.163151868865175,2026,IPIS
IPIS-10784,Site IPIS-10784,Gold,Deforestation,9,Local Militia,0.9373344162824551,28.942192080898508,2021,IPIS
IPIS-40830,Site IPIS-40830,Cassiterite,Child Labor,4,Mai-Mai,2.3487724640500947,28.897217516096248,2022,IPIS
IPIS-84481,Site IPIS-84481,Coltan,Child Labor,6,None,1.6758971147735546,29.04345851186932,2015,IPIS
IPIS-62676,Site IPIS-62676,Wolframite,Deforestation,6,None,1.0947289242322435,27.84933002615725,2011,IPIS
IPIS-46258,Site IPIS-46258,Wolframite,Deforestation,5,Local Militia,2.6734526085340633,28.717553244279582,2014,IPIS
IPIS-40070,Site IPIS-40070,Cassiterite,Mercury Pollution,7,Mai-Mai,2.231017002642969,28.533146805386313,2002,IPIS
IPIS-29964,Site IPIS-29964,Wolframite,Armed Presence,8,ADF,2.1408187621284984,27.95824334604165,2016,IPIS
IPIS-65226,Site IPIS-65226,Cassiterite,Deforestation,3,ADF,0.8087256112058707,28.63180453218002,2023,IPIS
IPIS-10622,Site IPIS-10622,Wolframite,Deforestation,7,Mai-Mai,1.5826082111141058,29.004924695136218,2018,IPIS
IPIS-91816,Site IPIS-91816,Diamond,Mercury Pollution,9,None,0.949399743545049,28.6251821753901,2006,IPIS
IPIS-34315,Site IPIS-34315,Gold,Deforestation,9,ADF,0.9942677151118022,28.470275225746924,2025,IPIS
IPIS-65131,Site IPIS-65131,Wolframite,Child Labor,1,ADF,1.8162649297166649,27.91351609210393,2006,IPIS
IPIS-57510,Site IPIS-57510,Diamond,Mercury Pollution,8,Local Militia,1.8760720150256582,27.812324553835623,2003,IPIS
IPIS-96287,Site IPIS-96287,Gold,Armed Presence,7,None,0.8300870275625756,29.29362922023731,2015,IPIS
IPIS-47219,Site IPIS-47219,Wolframite,Armed Presence,5,None,1.7893361578025262,29.234484485662918,2015,IPIS
IPIS-97329,Site IPIS-97329,Coltan,Armed Presence,10,ADF,2.4163752321795844,29.004861421343968,2008,IPIS
IPIS-94833,Site IPIS-94833,Cassiterite,Mercury Pollution,8,None,1.100500601411539,28.677104878852838,2000,IPIS
IPIS-82158,Site IPIS-82158,Coltan,Child Labor,2,ADF,1.6445489318978486,29.131263923751384,2020,IPIS
IPIS-67858,Site IPIS-67858,Wolframite,Mercury Pollution,7,ADF,1.103998757164292,28.47319044315815,2003,IPIS
IPIS-38646,Site IPIS-38646,Wolframite,Mercury Pollution,3,ADF,1.431121940529653,29.304695761560247,2006,IPIS
IPIS-44832,Site IPIS-44832,Diamond,Mercury Pollution,10,ADF,1.6804903289907895,28.36339904904468,2022,IPIS
IPIS-59213,Site IPIS-59213,Cassiterite,Deforestation,9,Local Militia,1.2265711545352072,29.239921066487096,2019,IPIS
IPIS-48136,Site IPIS-48136,Coltan,Child Labor,6,Mai-Mai,1.7427435496302421,28.684677498872556,2003,IPIS
IPIS-55474,Site IPIS-55474,Gold,Armed Presence,6,None,2.6288744780080973,27.91740076879281,2013,IPIS
IPIS-94927,Site IPIS-94927,Coltan,Child Labor,10,ADF,1.691520497142945,29.203816227221896,2019,IPIS
IPIS-15635,Site IPIS-15635,Cassiterite,Deforestation,4,ADF,1.7003370489109078,28.595693868725405,2001,IPIS
IPIS-89151,Site IPIS-89151,Coltan,Deforestation,7,Local Militia,0.9716963639146838,28.72828492799981,2011,IPIS
IPIS-90740,Site IPIS-90740,Diamond,Child Labor,8,Mai-Mai,2.439268091373277,28.35557583692858,2019,IPIS
IPIS-72572,Site IPIS-72572,Wolframite,Mercury Pollution,1,Mai-Mai,0.8089007452137482,28.912846302039995,2004,IPIS
IPIS-56132,Site IPIS-56132,Gold,Deforestation,7,Mai-Mai,2.5015647610632508,28.28072057962932,2010,IPIS
IPIS-21031,Site IPIS-21031,Gold,Deforestation,6,Local Militia,2.1353989579975137,28.52752034025544,2010,IPIS
IPIS-60591,Site IPIS-60591,Coltan,Child Labor,6,Mai-Mai,2.2654510839848463,28.259280765424613,2003,IPIS
IPIS-74695,Site IPIS-74695,Diamond,Mercury Pollution,2,Mai-Mai,2.6942019222950875,29.203697713977927,2024,IPIS
IPIS-94843,Site IPIS-94843,Gold,Mercury Pollution,5,Mai-Mai,1.8951093549468123,28.335525294175323,2026,IPIS
IPIS-86074,Site IPIS-86074,Gold,Deforestation,4,Local Militia,2.6655997967392073,28.88267099216515,2023,IPIS
IPIS-93328,Site IPIS-93328,Diamond,Deforestation,2,Mai-Mai,1.303366423330516,29.36070759620291,2003,IPIS
IPIS-94841,Site IPIS-94841,Gold,Deforestation,2,ADF,1.8239080110663797,28.759727755428436,2009,IPIS
IPIS-91840,Site IPIS-91840,Wolframite,Deforestation,2,ADF,1.6662422497159617,28.664650910028932,2017,IPIS
IPIS-87140,Site IPIS-87140,Cassiterite,Armed Presence,6,None,1.306019030430837,29.255152724961516,2001,IPIS
IPIS-97856,Site IPIS-97856,Cassiterite,Armed Presence,2,ADF,1.062877410086508,28.413040180093706,2024,IPIS
IPIS-76009,Site IPIS-76009,Gold,Child Labor,4,Mai-Mai,2.6721598228280863,29.074600202032702,2000,IPIS
IPIS-13063,Site IPIS-13063,Cassiterite,Armed Presence,1,ADF,1.6678496510614056,28.49711828292527,2015,IPIS
IPIS-23007,Site IPIS-23007,Wolframite,Armed Presence,7,ADF,1.563810444565441,29.071139837810712,2014,IPIS
IPIS-63307,Site IPIS-63307,Coltan,Child Labor,9,Mai-Mai,2.1775446669657645,28.638446410727383,2022,IPIS
IPIS-93410,Site IPIS-93410,Gold,Child Labor,5,None,2.1260077457849054,29.389661406647143,2025,IPIS
IPIS-57575,Site IPIS-57575,Diamond,Armed Presence,10,Mai-Mai,2.121447776330033,28.569811116179924,2009,IPIS
IPIS-13421,Site IPIS-13421,Cassiterite,Child Labor,9,Local Militia,2.617739571812683,28.94070999290187,2002,IPIS
IPIS-55159,Site IPIS-55159,Gold,Deforestation,9,Local Militia,1.2301144298271778,28.98345446231662,2017,IPIS
IPIS-94218,Site IPIS-94218,Gold,Deforestation,7,ADF,1.9103751685397596,29.23695006432452,2016,IPIS
IPIS-95137,Site IPIS-95137,Wolframite,Mercury Pollution,2,None,1.1434413441725706,28.898947240154204,2021,IPIS
IPIS-45004,Site IPIS-45004,Wolframite,Deforestation,10,Local Militia,2.2572888691793063,29.139868054139377,2026,IPIS
IPIS-32245,Site IPIS-32245,Coltan,Mercury Pollution,5,Mai-Mai,2.549890913640505,27.9335479996058,2026,IPIS
IPIS-54893,Site IPIS-54893,Coltan,Child Labor,3,None,2.5824341290648247,28.258166318536816,2002,IPIS
IPIS-55600,Site IPIS-55600,Coltan,Deforestation,2,None,1.8674620048600405,29.154589376141185,2019,IPIS
IPIS-77080,Site IPIS-77080,Diamond,Mercury Pollution,3,Local Militia,1.6082490446684907,27.866558316806778,2018,IPIS
IPIS-27512,Site IPIS-27512,Cassiterite,Deforestation,7,Local Militia,1.4413515243576223,28.67867702394012,2002,IPIS
IPIS-43689,Site IPIS-43689,Diamond,Deforestation,6,None,1.4154376098655632,28.813990833911557,2002,IPIS
IPIS-21451,Site IPIS-21451,Diamond,Mercury Pollution,8,Mai-Mai,1.2553685458176878,28.947194722020043,2008,IPIS
IPIS-84876,Site IPIS-84876,Coltan,Armed Presence,3,Mai-Mai,2.387367234715268,29.18198040136012,2020,IPIS
IPIS-17042,Site IPIS-17042,Cassiterite,Armed Presence,1,None,2.2702529893583057,29.009510938966024,2012,IPIS
IPIS-69658,Site IPIS-69658,Wolframite,Child Labor,3,None,2.3581316773266905,29.139646704031932,2003,IPIS
IPIS-65367,Site IPIS-65367,Coltan,Armed Presence,6,ADF,1.868855574200093,27.97197571735839,2020,IPIS
IPIS-61895,Site IPIS-61895,Wolframite,Deforestation,1,None,2.1029317119100455,28.815690479131803,2014,IPIS
IPIS-40615,Site IPIS-40615,Gold,Mercury Pollution,2,Local Militia,0.9652274739215904,28.303888475957113,2006,IPIS
IPIS-70305,Site IPIS-70305,Cassiterite,Child Labor,9,ADF,2.4257271897364783,29.322828246674312,2006,IPIS
IPIS-76727,Site IPIS-76727,Coltan,Child Labor,1,ADF,2.628308017735278,28.20284144044799,2025,IPIS
IPIS-27226,Site IPIS-27226,Wolframite,Deforestation,9,ADF,1.235095043653404,28.919669416512594,2026,IPIS
IPIS-27229,Site IPIS-27229,Diamond,Mercury Pollution,2,None,1.2759893920519327,29.161879880735988,2018,IPIS
IPIS-59805,Site IPIS-59805,Cassiterite,Mercury Pollution,2,None,1.7434532804209493,28.327593613810237,2002,IPIS
