title_id,permit_name,operator,mineral_type,status,issue_date,expiry_date,province,territory,latitude,longitude,source,year,distance_to_boundary_km,is_inside,latitude,longitude,source
,,,,,,,,,2.3014158677929415,28.881928952406337,IPIS,2015,41.67,True,2.3014158677929415,28.881928952406337,IPIS
,,,,,,,,,1.0663781166227992,29.145493932717027,IPIS,2014,9.55,True,1.0663781166227992,29.145493932717027,IPIS
,,,,,,,,,1.9308057800648968,29.0546803163415,IPIS,2022,65.32,True,1.9308057800648968,29.0546803163415,IPIS
,,,,,,,,,2.1699070433138288,28.545843461054798,IPIS,2006,70.89,True,2.1699070433138288,28.545843461054798,IPIS
,,,,,,,,,1.2751489090650339,28.590380061947112,IPIS,2000,72.41,True,1.2751489090650339,28.590380061947112,IPIS
,,,,,,,,,1.0277909422807203,29.178881310439532,IPIS,2012,3.88,True,1.0277909422807203,29.178881310439532,IPIS
,,,,,,,,,1.9579393746299973,28.89899331623607,IPIS,2024,68.93,True,1.9579393746299973,28.89899331623607,IPIS
,,,,,,,,,2.2724639870089263,28.505148244682285,IPIS,2007,61.56,True,2.2724639870089263,28.505148244682285,IPIS
,,,,,,,,,1.6392392070933846,28.205108741695604,IPIS,2008,74.65,True,1.6392392070933846,28.205108741695604,IPIS
,,,,,,,,,1.6156129949580382,28.84383766580893,IPIS,2010,79.08,True,1.6156129949580382,28.84383766580893,IPIS
,,,,,,,,,1.1968083600268427,29.085311462035705,IPIS,2017,25.33,True,1.1968083600268427,29.085311462035705,IPIS
,,,,,,,,,2.2363790675970217,28.64444764120109,IPIS,2005,68.33,True,2.2363790675970217,28.64444764120109,IPIS
,,,,,,,,,1.1662522140484142,29.13183872633913,IPIS,2019,19.98,True,1.1662522140484142,29.13183872633913,IPIS
,,,,,,,,,1.153992205792876,28.28323624020109,IPIS,2001,35.84,True,1.153992205792876,28.28323624020109,IPIS
,,,,,,,,,1.2451005298250015,28.663138533365895,IPIS,2000,65.61,True,1.2451005298250015,28.663138533365895,IPIS
,,,,,,,,,1.9083217717827914,28.42051107248314,IPIS,2021,80.69,True,1.9083217717827914,28.42051107248314,IPIS
,,,,,,,,,1.1143145508261387,28.843633429914327,IPIS,2017,41.61,True,1.1143145508261387,28.843633429914327,IPIS
,,,,,,,,,1.8552012299009168,28.745781465951843,IPIS,2017,87.68,True,1.8552012299009168,28.745781465951843,IPIS
,,,,,,,,,1.8608974379105936,28.163151868865175,IPIS,2026,73.34,True,1.8608974379105936,28.163151868865175,IPIS
,,,,,,,,,2.3487724640500947,28.897217516096248,IPIS,2022,37.61,True,2.3487724640500947,28.897217516096248,IPIS
,,,,,,,,,1.6758971147735546,29.04345851186932,IPIS,2015,77.14,True,1.6758971147735546,29.04345851186932,IPIS
,,,,,,,,,2.231017002642969,28.533146805386313,IPIS,2002,66.36,True,2.231017002642969,28.533146805386313,IPIS
,,,,,,,,,1.5826082111141058,29.004924695136218,IPIS,2018,68.32,True,1.5826082111141058,29.004924695136218,IPIS
,,,,,,,,,2.4163752321795844,29.004861421343968,IPIS,2008,23.59,True,2.4163752321795844,29.004861421343968,IPIS
,,,,,,,,,1.100500601411539,28.677104878852838,IPIS,2000,59.2,True,1.100500601411539,28.677104878852838,IPIS
,,,,,,,,,1.6445489318978486,29.131263923751384,IPIS,2020,72.08,True,1.6445489318978486,29.131263923751384,IPIS
,,,,,,,,,1.103998757164292,28.47319044315815,IPIS,2003,53.86,True,1.103998757164292,28.47319044315815,IPIS
,,,,,,,,,1.6804903289907895,28.36339904904468,IPIS,2022,85.78,True,1.6804903289907895,28.36339904904468,IPIS
,,,,,,,,,1.7427435496302421,28.684677498872556,IPIS,2003,100.51,True,1.7427435496302421,28.684677498872556,IPIS
,,,,,,,,,1.7003370489109078,28.595693868725405,IPIS,2001,102.22,True,1.7003370489109078,28.595693868725405,IPIS
,,,,,,,,,2.439268091373277,28.35557583692858,IPIS,2019,40.07,True,2.439268091373277,28.35557583692858,IPIS
,,,,,,,,,2.1353989579975137,28.52752034025544,IPIS,2010,71.27,True,2.1353989579975137,28.52752034025544,IPIS
,,,,,,,,,2.2654510839848463,28.259280765424613,IPIS,2003,38.86,True,2.2654510839848463,28.259280765424613,IPIS
,,,,,,,,,1.8951093549468123,28.335525294175323,IPIS,2026,76.9,True,1.8951093549468123,28.335525294175323,IPIS
,,,,,,,,,1.8239080110663797,28.759727755428436,IPIS,2009,89.69,True,1.8239080110663797,28.759727755428436,IPIS
,,,,,,,,,1.6662422497159617,28.664650910028932,IPIS,2017,95.03,True,1.6662422497159617,28.664650910028932,IPIS
,,,,,,,,,1.062877410086508,28.413040180093706,IPIS,2024,46.45,True,1.062877410086508,28.413040180093706,IPIS
,,,,,,,,,1.6678496510614056,28.49711828292527,IPIS,2015,92.57,True,1.6678496510614056,28.49711828292527,IPIS
,,,,,,,,,1.563810444565441,29.071139837810712,IPIS,2014,64.31,True,1.563810444565441,29.071139837810712,IPIS
,,,,,,,,,2.1775446669657645,28.638446410727383,IPIS,2022,71.96,True,2.1775446669657645,28.638446410727383,IPIS
,,,,,,,,,2.121447776330033,28.569811116179924,IPIS,2009,76.02,True,2.121447776330033,28.569811116179924,IPIS
,,,,,,,,,1.2301144298271778,28.98345446231662,IPIS,2017,35.13,True,1.2301144298271778,28.98345446231662,IPIS
,,,,,,,,,1.1434413441725706,28.898947240154204,IPIS,2021,37.08,True,1.1434413441725706,28.898947240154204,IPIS
,,,,,,,,,2.2572888691793063,29.139868054139377,IPIS,2026,27.8,True,2.2572888691793063,29.139868054139377,IPIS
,,,,,,,,,1.8674620048600405,29.154589376141185,IPIS,2019,70.52,True,1.8674620048600405,29.154589376141185,IPIS
,,,,,,,,,1.4413515243576223,28.67867702394012,IPIS,2002,75.94,True,1.4413515243576223,28.67867702394012,IPIS
,,,,,,,,,1.4154376098655632,28.813990833911557,IPIS,2002,63.05,True,1.4154376098655632,28.813990833911557,IPIS
,,,,,,,,,1.2553685458176878,28.947194722020043,IPIS,2008,39.95,True,1.2553685458176878,28.947194722020043,IPIS
,,,,,,,,,2.387367234715268,29.18198040136012,IPIS,2020,12.68,True,2.387367234715268,29.18198040136012,IPIS
,,,,,,,,,2.2702529893583057,29.009510938966024,IPIS,2012,33.17,True,2.2702529893583057,29.009510938966024,IPIS
,,,,,,,,,2.3581316773266905,29.139646704031932,IPIS,2003,17.14,True,2.3581316773266905,29.139646704031932,IPIS
,,,,,,,,,2.1029317119100455,28.815690479131803,IPIS,2014,61.42,True,2.1029317119100455,28.815690479131803,IPIS
,,,,,,,,,1.235095043653404,28.919669416512594,IPIS,2026,40.68,True,1.235095043653404,28.919669416512594,IPIS
,,,,,,,,,1.2759893920519327,29.161879880735988,IPIS,2018,30.98,True,1.2759893920519327,29.161879880735988,IPIS
,,,,,,,,,1.7434532804209493,28.327593613810237,IPIS,2002,90.33,True,1.7434532804209493,28.327593613810237,IPIS
