title_id,permit_name,operator,mineral_type,status,issue_date,expiry_date,province,territory,latitude,longitude,source,year
PE-3181,Permit PE-3181,AngloGold Ashanti,Diamond,Inactive,2025-01-01,2035-01-01,Ituri,Mambasa,1.7932683448618971,29.653564545903606,CAMI,2025
PE-9606,Permit PE-9606,AngloGold Ashanti,Cassiterite,Expired,2011-01-01,2021-01-01,Ituri,Mambasa,2.844417158043729,27.632598850754952,CAMI,2011
PE-2216,Permit PE-2216,AngloGold Ashanti,Coltan,Inactive,2016-01-01,2026-01-01,Ituri,Mambasa,2.568578638016059,28.77083342522556,CAMI,2016
PE-6815,Permit PE-6815,AngloGold Ashanti,Wolframite,Active,2007-01-01,2017-01-01,Ituri,Mambasa,2.952588362719918,29.292899674733803,CAMI,2007
PE-7434,Permit PE-7434,Banro Corp,Wolframite,Active,2013-01-01,2023-01-01,Ituri,Mambasa,0.7465268543293186,28.555798751192583,CAMI,2013
PE-2977,Permit PE-2977,Banro Corp,Cassiterite,Inactive,2014-01-01,2024-01-01,Ituri,Mambasa,0.531362834908568,28.373926956868686,CAMI,2014
PE-8563,Permit PE-8563,Kibali Gold,Diamond,Renewal,2021-01-01,2031-01-01,Ituri,Mambasa,2.2646135367226217,28.37485252397879,CAMI,2021
PE-2111,Permit PE-2111,Banro Corp,Gold,Active,2004-01-01,2014-01-01,Ituri,Mambasa,1.6902692396242445,27.734574830801698,CAMI,2004
PE-3653,Permit PE-3653,Alphamin,Gold,Expired,2008-01-01,2018-01-01,Ituri,Mambasa,1.8409665536641797,29.027457365538197,CAMI,2008
PE-9444,Permit PE-9444,AngloGold Ashanti,Gold,Renewal,2000-01-01,2010-01-01,Ituri,Mambasa,1.9160114539999604,28.65759543733864,CAMI,2000
PE-1484,Permit PE-1484,Artisanal Cooperatives,Cassiterite,Renewal,2021-01-01,2031-01-01,Ituri,Mambasa,2.9394139256842506,28.352973936209843,CAMI,2021
PE-2185,Permit PE-2185,AngloGold Ashanti,Diamond,Inactive,2012-01-01,2022-01-01,Ituri,Mambasa,0.7367570950317202,28.427060195813365,CAMI,2012
PE-2051,Permit PE-2051,Kibali Gold,Gold,Expired,2001-01-01,2011-01-01,Ituri,Mambasa,2.174072168282633,29.214842689081777,CAMI,2001
PE-8420,Permit PE-8420,Kibali Gold,Wolframite,Renewal,2010-01-01,2020-01-01,Ituri,Mambasa,0.6295293773804268,28.415791737758664,CAMI,2010
PE-5315,Permit PE-5315,Kibali Gold,Diamond,Expired,2026-01-01,2036-01-01,Ituri,Mambasa,2.8718884594936394,29.57454218882171,CAMI,2026
PE-1295,Permit PE-1295,Artisanal Cooperatives,Coltan,Active,2022-01-01,2032-01-01,Ituri,Mambasa,0.5215210992810724,28.989989746573293,CAMI,2022
PE-8236,Permit PE-8236,Kibali Gold,Gold,Active,2020-01-01,2030-01-01,Ituri,Mambasa,2.470541213897844,28.107939985424103,CAMI,2020
PE-4360,Permit PE-4360,Alphamin,Cassiterite,Inactive,2010-01-01,2020-01-01,Ituri,Mambasa,2.2132159074426268,29.31128443527764,CAMI,2010
PE-6908,Permit PE-6908,Alphamin,Coltan,Expired,2017-01-01,2027-01-01,Ituri,Mambasa,2.352333685777191,29.53513381039873,CAMI,2017
PE-4922,Permit PE-4922,Banro Corp,Diamond,Renewal,2006-01-01,2016-01-01,Ituri,Mambasa,2.5361184383333764,28.103341298047244,CAMI,2006
PE-2361,Permit PE-2361,AngloGold Ashanti,Cassiterite,Inactive,2016-01-01,2026-01-01,Ituri,Mambasa,1.4015247089909098,28.929068597654997,CAMI,2016
PE-8091,Permit PE-8091,Banro Corp,Coltan,Active,2025-01-01,2035-01-01,Ituri,Mambasa,0.8351984421291001,29.400558811891116,CAMI,2025
PE-5785,Permit PE-5785,AngloGold Ashanti,Cassiterite,Inactive,2002-01-01,2012-01-01,Ituri,Mambasa,2.369649788810341,27.730539008596608,CAMI,2002
PE-9325,Permit PE-9325,Banro Corp,Wolframite,Renewal,2022-01-01,2032-01-01,Ituri,Mambasa,1.905504577821137,29.329159380505587,CAMI,2022
PE-3689,Permit PE-3689,Banro Corp,Wolframite,Renewal,2012-01-01,2022-01-01,Ituri,Mambasa,2.270577437422599,29.402954824925036,CAMI,2012
PE-8326,Permit PE-8326,AngloGold Ashanti,Cassiterite,Expired,2024-01-01,2034-01-01,Ituri,Mambasa,0.9540236287948243,28.75956064354052,CAMI,2024
PE-7576,Permit PE-7576,Artisanal Cooperatives,Cassiterite,Renewal,2001-01-01,2011-01-01,Ituri,Mambasa,2.8731331444609975,28.485533890450906,CAMI,2001
PE-7056,Permit PE-7056,Alphamin,Diamond,Inactive,2004-01-01,2014-01-01,Ituri,Mambasa,1.844427127491443,27.820416810830338,CAMI,2004
PE-2091,Permit PE-2091,Artisanal Cooperatives,Gold,Inactive,2025-01-01,2035-01-01,Ituri,Mambasa,0.7315568785764649,27.843839643985124,CAMI,2025
